"","id","stNumber","stName","type","capacity"
"147",7625804,231,"fort york blvd","Ring",1
"148",7625805,332,"harbord st","Ring",1
"149",7625806,623,"bathurst st","Ring",1
"150",7625807,489,"college st","Ring",1
"151",7625808,489,"college st","Ring",1
"152",7625809,747,"college st","Ring",1
"153",7625810,747,"college st","Ring",1
"154",7625811,747,"college st","Ring",1
"155",7625812,842,"college st","Ring",1
"156",7625813,846,"college st","Ring",1
"157",7625814,447,"dovercourt rd","Ring",1
"158",7625815,1230,"dundas st w","Ring",1
"159",7625816,1241,"dundas st w","Ring",1
"160",7625817,1241,"dundas st w","Ring",1
"161",7625818,1241,"dundas st w","Ring",1
"162",7625819,1239,"dundas st w","Ring",1
"163",7625820,1239,"dundas st w","Ring",1
"164",7625821,1239,"dundas st w","Ring",1
"165",7625822,1229,"dundas st w","Ring",1
"166",7625823,55,"halton st","Ring",1
"167",7625824,55,"halton st","Ring",1
"168",7625825,55,"halton st","Ring",1
"169",7625826,55,"halton st","Ring",1
"170",7625827,176,"bellwoods ave","Ring",1
"171",7625828,176,"bellwoods ave","Ring",1
"172",7625829,866,"dundas st w","Ring",1
"173",7625830,862,"dundas st w","Ring",1
"174",7625831,862,"dundas st w","Ring",1
"175",7625832,858,"dundas st w","Ring",1
"176",7625833,85,"richmond st w","Ring",1
"177",7625834,85,"richmond st w","Ring",1
"178",7625835,480,"dundas st e","Ring",1
"179",7625836,480,"dundas st e","Ring",1
"180",7625837,229,"queen st e","Ring",1
"181",7625838,133,"richmond st w","Ring",1
"182",7625839,229,"queen st e","Ring",1
"183",7625840,170,"york st","Ring",1
"184",7625841,170,"university ave","Ring",1
"185",7625842,160,"adelaide st w","Ring",1
"186",7625843,160,"adelaide st w","Ring",1
"187",7625844,141,"adelaide st w","Ring",1
"188",7625845,141,"adelaide st w","Ring",1
"189",7625846,279,"yonge st","Ring",1
"190",7625847,26,"wellington st e","Ring",1
"191",7625848,26,"wellington st e","Ring",1
"192",7625849,26,"wellington st e","Ring",1
"193",7625850,26,"wellington st e","Ring",1
"194",7625851,105,"front st e","Ring",1
"195",7625852,147,"lower jarvis st","Ring",1
"196",7625853,141,"lower jarvis st","Ring",1
"197",7625854,125,"george st","Ring",1
"198",7625855,21,"dundonald st",NA,1
"199",7625856,2210,"yonge st","Ring",1
"200",7625857,9,"morrow ave",NA,1
"201",7625858,1,"grenville st",NA,1
"202",7625859,1554,"queen st w",NA,1
"203",7625860,145,"queens quay w","Ring",1
"204",7625861,61,"hanna ave",NA,1
"205",7625862,194,"wellesley st e",NA,1
"206",7625863,3,"queen st e",NA,1
"207",7625864,550,"eglinton ave w","Rack",1
"208",7625865,2458,"bloor st w",NA,1
"209",7625866,100,"sorauren ave","Rack",1
"210",7625868,194,"wellesley st e",NA,1
"211",7625869,145,"queens quay w",NA,1
"212",7625870,131,"dunn ave",NA,1
"213",7625871,302,"eglinton ave w",NA,1
"214",7625872,382,"bathurst st",NA,1
"215",7625873,3,"chaplin cres",NA,1
"216",7625874,27,"roncesvalles ave",NA,1
"217",7625875,1802,"eglinton ave w","Ring",1
"218",7625876,2178,"bloor st w",NA,1
"219",7625877,149,"christie st","Ring",1
"220",7625878,149,"christie st","Ring",1
"221",7625879,238,"christie st","Ring",1
"222",7625880,238,"christie st","Ring",1
"223",7625881,18,"madison ave","Ring",1
"224",7625882,316,"bloor st w","Ring",1
"225",7625883,238,"bloor st w","Ring",1
"226",7625884,238,"bloor st w","Ring",1
"227",7625885,238,"bloor st w","Ring",1
"228",7625886,33,"phoebe st","Ring",1
"229",7625887,33,"phoebe st","Ring",1
"230",7625888,33,"phoebe st","Ring",1
"231",7625889,33,"phoebe st","Ring",1
"232",7625890,266,"queens quay w","Ring",1
"233",7625891,266,"queens quay w","Ring",1
"234",7625892,266,"queens quay w","Ring",1
"235",7625893,218,"queens quay w","Ring",1
"236",7625894,218,"queens quay w","Ring",1
"237",7625895,8,"york st","Ring",1
"238",7625896,8,"york st","Ring",1
"239",7625897,8,"york st","Ring",1
"240",7625898,8,"york st","Ring",1
"241",7625899,8,"york st","Ring",1
"242",7625900,92,"peter st","Ring",1
"243",7625901,92,"peter st","Ring",1
"244",7625902,30,"nelson st","Ring",1
"245",7625903,199,"richmond st w","Ring",1
"246",7625904,199,"richmond st w","Ring",1
"247",7625905,199,"richmond st w","Ring",1
"248",7625906,111,"bathurst st","Ring",1
"249",7625907,111,"bathurst st","Ring",1
"250",7625908,111,"bathurst st","Ring",1
"251",7625909,626,"richmond st w","Ring",1
"252",7625910,626,"bathurst st","Ring",1
"253",7625911,775,"king st w","Ring",1
"254",7625912,775,"king st w","Ring",1
"255",7625913,705,"king st w","Ring",1
"256",7625914,705,"king st w","Ring",1
"257",7625915,705,"king st w","Ring",1
"258",7625916,88,"ossington ave","Ring",1
"259",7625917,59,"ossington ave","Ring",1
"260",7625918,20,"bruyeres mews","Ring",1
"261",7625919,231,"fort york blvd","Ring",1
"262",7625920,640,"fleet st","Ring",1
"263",7625921,640,"fleet st","Ring",1
"264",7625922,640,"fleet st","Ring",1
"265",7625923,231,"fort york blvd","Ring",1
"266",7625924,231,"fort york blvd","Ring",1
"267",7625925,449,"king st w","Ring",1
"268",7625926,260,"adelaide st w","Ring",1
"269",7625927,438,"dundas st w","Ring",1
"270",7625928,668,"king st w","Ring",1
"271",7625929,668,"king st w","Ring",1
"272",7625930,16,"york st","Ring",1
"273",7625931,16,"york st","Ring",1
"274",7625932,420,"dupont st","Ring",1
"275",7625933,96,"denison ave","Ring",1
"276",7625934,96,"denison ave","Ring",1
"277",7625935,96,"denison ave","Ring",1
"278",7625936,270,"king st w","Ring",1
"279",7625937,270,"king st w","Ring",1
"280",7625938,1544,"dundas st w","Ring",1
"281",7625939,1544,"dundas st w","Ring",1
"282",7625940,1544,"dundas st w","Ring",1
"283",7625941,1544,"dundas st w","Ring",1
"284",7625942,1544,"dundas st w","Ring",1
"285",7625943,316,"bloor st w","Ring",1
"286",7625944,693,"bathurst st","Ring",1
"287",7625945,693,"bathurst st","Ring",1
"288",7625946,144,"front st w","Ring",1
"289",7625948,1879,"eglinton ave w","Ring",1
"290",7625949,1000,"bay st","Ring",1
"291",7625950,832,"bay st","Ring",1
"292",7625951,832,"bay st","Ring",1
"293",7625952,832,"bay st","Ring",1
"294",7625953,831,"bay st","Ring",1
"295",7625954,831,"bay st","Ring",1
"296",7625955,831,"bay st","Ring",1
"297",7625956,831,"bay st","Ring",1
"298",7625957,595,"bay st","Ring",1
"299",7625958,595,"bay st","Ring",1
"300",7625959,595,"bay st","Ring",1
"301",7625960,595,"bay st","Ring",1
"302",7625961,285,"victoria st","Ring",1
"303",7625962,285,"victoria st","Ring",1
"304",7625963,285,"victoria st","Ring",1
"305",7625964,285,"victoria st","Ring",1
"306",7625965,1,"queens quay w","Ring",1
"307",7625966,1,"queens quay w","Ring",1
"308",7625967,1,"queens quay w","Ring",1
"309",7625968,38,"the esplanade","Ring",1
