_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
5914944,1533,BP-19491,231,Fort York Blvd,Fort York Blvd,South,Fleet St,East,,10.0,CityPlace and Fort York,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4060381821, 43.6372655688)}"
5914945,1534,BP-19492,332,Harbord St,Harbord St,North,Montrose Ave,East,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4192898917, 43.6596480697)}"
5914946,1535,BP-19493,332,Harbord St,Harbord St,North,Montrose Ave,East,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4192549825, 43.6596536889)}"
5914947,1536,BP-19494,623,Bathurst St,Bathurst St,East,Ulster St,North,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4090148205, 43.6599598111)}"
5914948,1537,BP-19495,489,College St,College St,South,Markham St,West,,11.0,Little Italy,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4092426068, 43.6560493652)}"
5914949,1538,BP-19496,489,College St,College St,South,Markham St,West,,11.0,Little Italy,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4093009101, 43.6560350183)}"
5914950,1539,BP-19497,747,College St,College St,South,Shaw St,East,,11.0,Little Italy,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4199285987, 43.6548986325)}"
5914951,1540,BP-19499,747,College St,College St,South,Shaw St,East,,11.0,Little Italy,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4198961213, 43.6549049737)}"
5914952,1541,BP-19500,747,College St,College St,South,Shaw St,East,,11.0,Little Italy,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.419882753, 43.6549078358)}"
5914953,1542,BP-19501,842,College St,College St,North,Ossington Ave,West,,9.0,College Promenade,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.423258452, 43.6543421033)}"
5914954,1543,BP-19502,846,College St,College St,North,Ossington Ave,West,,9.0,College Promenade,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4233311204, 43.6543265257)}"
5914955,1544,BP-19503,846,College St,College St,North,Ossington Ave,West,,9.0,College Promenade,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4233596173, 43.6543204239)}"
5914956,1545,BP-19504,846,College St,College St,North,Ossington Ave,West,,9.0,College Promenade,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4233824223, 43.6543155335)}"
5914957,1546,BP-19505,838,College St,College St,North,Ossington Ave,West,,9.0,College Promenade,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4231012863, 43.6543746636)}"
5914958,1547,BP-19506,447,Dovercourt Rd,Dovercourt Rd,East,College St,North,,9.0,College Promenade,Ring,Temporarily Removed,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4264379335, 43.6539632562)}"
