_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
5916949,13474,BP-27877,861,Queen St W,Queen St W,South,Bellwoods Ave,East,,10.0,West Queen West,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4105212824, 43.6458120554)}"
5916950,13475,BP-35506,129,College St,College St,South,University Ave,West,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3913319208, 43.6595784824)}"
5916951,13476,BP-29617,1901,Yonge St,Yonge St,East,Davisville Ave,South,,12.0,Midtown Yonge,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3964289534, 43.6980909413)}"
5916952,13477,BP-30298,856,Bloor St W,Bloor St W,North,Roxton Rd,East,,11.0,Bloorcourt Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.424424733, 43.6623102708)}"
5916953,13478,BP-29221,390,Queen St W,Queen St W,North,Spadina Ave,West,,10.0,Queen Street West,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3967037844, 43.6487418442)}"
5916954,13479,BP-27728,534,College St,College St,North,Euclid Ave,East,,11.0,Little Italy,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4110351195, 43.6558888669)}"
5916955,13481,BP-33117,1944,Danforth Ave,Danforth Ave,North,West Lynn Ave,East,,19.0,Danforth Mosaic,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3158903126, 43.6850987329)}"
5916956,13482,BP-26055,552,Danforth Ave,Danforth Ave,North,Carlaw Ave,West,,14.0,Greektown on the Danforth,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3475774576, 43.678486145)}"
5916957,13483,BP-24326,2401,Bloor St W,Bloor St W,South,Armadale Ave,West,,4.0,Bloor West Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4830442886, 43.6495703118)}"
5916958,13484,BP-31435,4763,Yonge St,Yonge St,East,Bogert Ave,South,,18.0,Willowdale,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4105081616, 43.7604705595)}"
5916959,13485,BP-30907,2631A,Yonge St,Yonge St,East,Sheldrake Blvd,North,,15.0,Uptown Yonge,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4000449033, 43.7152132021)}"
5916960,13486,BP-27468,98,Atlantic Ave,Ln S King E Jefferson,North,Atlantic Ave,West,,10.0,Liberty Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4209206822, 43.638929846)}"
5916961,13487,BP-21663,590,King St W,King St W,North,Portland St,East,,10.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3997591877, 43.6445913968)}"
5916962,13488,BP-36404,1375,Dupont St,Dupont St,South,Lansdowne Ave,East,,9.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4462435646, 43.6666940867)}"
5916963,13489,BP-36667,88,Wellesley St E,Wellesley St E,North,Jarvis St,West,,13.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.379622067, 43.6660493907)}"
5916964,13491,BP-30046,1951,Eglinton Ave W,Eglinton Ave W,South,Ennerdale Rd,East,,9.0,Fairbank Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4531702516, 43.6949665948)}"
5916965,13493,BP-33880,2575,Danforth Ave,Danforth Ave,South,Barrington Ave,West,,19.0,Danforth Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3006376488, 43.6883317189)}"
5916966,13494,BP-31303,158,Clinton St,Ln S Harbord W Manning,South,Clinton St,East,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4150516447, 43.6584580001)}"
5916967,13495,BP-44068,100,Cooperage St,Cherry St,East,Eastern Ave,South,,13.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3581975757, 43.6535177137)}"
5916968,13497,BP-22411,5,Carlton St,Carlton St,South,Reverend Porter Lane,South,,13.0,Downtown Yonge,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3820740735, 43.6612790853)}"
5916969,13498,BP-24986,206A,Bloor St W,Bloor St W,North,Avenue Rd,West,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3956805556, 43.6684543613)}"
5916970,13499,BP-28560,30,St Clair Ave W,St Clair Ave W,North,St Clair Ave E,West,,12.0,Yonge & St. Clair,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3952045423, 43.6879681592)}"
5916971,13500,BP-40043,415,King St W,King St W,South,Spadina Ave,East,,10.0,Toronto Entertainment District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3944302538, 43.6455162251)}"
5916972,13501,BP-29612,12,Shaftesbury Ave,Shaftesbury Ave,North,Charlesworth Lane,West,,11.0,Rosedale Main Street,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3912001868, 43.6821502226)}"
5916973,13504,BP-22506,123,Edward St,Edward St,South,Chestnut St,West,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3864857185, 43.6558264843)}"
5916974,13505,BP-26745,3101,Yonge St,Yonge St,East,Lawrence Ave E,North,,15.0,Yonge Lawrence Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4020558149, 43.7254082286)}"
5916975,13506,BP-29811,153,Bloor St W,Queen's Park,East,Avenue Rd,South,,11.0,Bloor Street,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3939002093, 43.6684769904)}"
5916976,13508,BP-35837,970,Gerrard St E,Gerrard St E,North,Pape Ave,East,,14.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.339716386, 43.6683615869)}"
5916977,13509,BP-25651,1004,Dundas St W,Dundas St W,North,Montrose Ave,East,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4157264291, 43.650399902)}"
5916978,13511,BP-25945,269,Danforth Ave,Danforth Ave,South,Playter Blvd,East,,14.0,Broadview Danforth,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3546268448, 43.6769448865)}"
5916979,13513,BP-30541,180,Queen St W,Queen St W,North,Simcoe St,West,,10.0,Queen Street West,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3876637563, 43.6506726885)}"
5916980,13514,BP-35024,1204,Bloor St W,Bloor St W,North,Brock Ave,East,,9.0,Bloordale Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4382170086, 43.6593403363)}"
5916981,13515,BP-22011,275,Queens Quay W,Queens Quay W,South,Robertson Cres,West,,10.0,The Waterfront,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3866874829, 43.6386458773)}"
5916982,13516,BP-28639,298,Gerrard St E,Gerrard St E,North,Parliament St,East,,13.0,Cabbagetown,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3666426755, 43.6621134086)}"
5916983,13517,BP-25170,2107,Danforth Ave,Danforth Ave,South,Amroth Ave,West,,19.0,Danforth Mosaic,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3118394176, 43.6858121779)}"
5916984,13518,BP-43847,777,Danforth Ave,Danforth Ave,South,Woodycrest Ave,West,,14.0,Greektown on the Danforth,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3420344569, 43.6794038016)}"
5916985,13519,BP-34696,116A,Sherbourne St,Sherbourne St,West,Britain St,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3693132496, 43.653745023)}"
5916986,13520,BP-31000,181,University Ave,University Ave,East,Adelaide St W,North,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3856149157, 43.6493746138)}"
5916987,13521,BP-31626,1044A,Queen St E,Queen St E,North,Pape Ave,West,,14.0,Leslieville,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3380551921, 43.6615746502)}"
5916988,13522,BP-23109,1485,Dupont St,Dupont St,South,Campbell Ave,West,,9.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4501877074, 43.6658629978)}"
5916989,13523,BP-25890,750,Spadina Ave,Bloor St W,South,Sussex Mews,East,,11.0,Bloor Annex,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4043580133, 43.6664720351)}"
5916990,13524,BP-28046,383,Sherbourne St,Sherbourne St,East,Carlton St,North,,13.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3732719987, 43.6640257057)}"
5916991,13525,BP-24589,2178,Bloor St W,Bloor St W,North,Glendonwynne Rd,East,,4.0,Bloor West Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4739032616, 43.6517653906)}"
5916992,13526,BP-21603,522,King St W,King St W,North,Brant St,East,,10.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3973103124, 43.6450781686)}"
5916993,13527,BP-44289,156,John St,John St,West,Ln S Queen W John,North,,10.0,Toronto Entertainment District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3910778275, 43.6495501923)}"
5916994,13528,BP-30579,207,Eastern Ave,Lawren Harris Sq,South,Bayview Ave,North,,13.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3538192344, 43.6549741896)}"
5916995,13529,BP-27204,23,Prince Arthur Ave,Prince Arthur Ave,South,Bedford Rd,East,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3963743866, 43.6695146561)}"
5916996,13530,BP-29381,10,Lower Jarvis St,Lower Jarvis St,West,Queens Quay E,North,,10.0,The Waterfront,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3693628872, 43.6443711151)}"
5916997,13532,BP-28506,330,Keele St,Keele St,West,Ln S Dundas W Keele,South,,4.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4642412661, 43.6644493409)}"
5916998,13533,BP-23927,5,Market St,Market St,East,Ln S The Esplanade E Church,North,,10.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3713051874, 43.6472896622)}"
5916999,13535,BP-25472,71,Ossington Ave,Ossington Ave,East,Bruce St,North,,10.0,Ossington Avenue,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4193875581, 43.6459097093)}"
5917000,13536,BP-35503,163,Portland St,Portland St,East,Rush Lane,South,,10.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4011447172, 43.6472514543)}"
5917001,13537,BP-34137,483,Bloor St W,Brunswick Ave,West,Bloor St W,South,,11.0,Bloor Annex,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4074180216, 43.6656761718)}"
5917002,13538,BP-33182,18,Wellington St W,Wellington St W,North,Ln W Yonge N Wellington,West,,13.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3786651795, 43.6476256038)}"
5917003,13539,BP-26249,2108,Yonge St,Yonge St,West,Manor Rd E,North,,12.0,Midtown Yonge,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3976462559, 43.7028452185)}"
5917004,13540,BP-32228,41,Mill St,Mill St,South,Trinity St,West,,10.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3605451242, 43.6505158855)}"
5917005,13542,BP-33426,220A,Roncesvalles Ave,Roncesvalles Ave,West,Fern Ave,North,,4.0,Roncesvalles Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4485124162, 43.6446780113)}"
5917006,13543,BP-26470,55,Belmont St,Belmont St,South,Ln E Davenport N Belmont,South,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3913826339, 43.6750149179)}"
5917007,13544,BP-27209,39,Prince Arthur Ave,Prince Arthur Ave,South,Bedford Rd,East,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3974113618, 43.6692980473)}"
5917008,13546,BP-32019,78,York St,York St,West,King St W,South,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3835119777, 43.6476223102)}"
5917009,13547,BP-24175,754,Bay St,Bay St,West,Hayter St,North,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3855486656, 43.6598407636)}"
5917010,13548,BP-25159,2404,Danforth Ave,Danforth Ave,North,Westlake Ave,West,,19.0,Danforth Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3055193921, 43.6874579024)}"
5917011,13549,BP-25344,12,Roxton Rd,Dundas St W,North,Roxton Rd,West,,11.0,Little Portugal,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4198144881, 43.649572098)}"
5917012,13550,BP-24127,38,Shuter St,Bond St,West,Shuter St,North,,13.0,Downtown Yonge,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.377747957, 43.6546511505)}"
5917013,13554,BP-44704,36,Brentwood Rd N,Birchview Blvd,South,Brentwood Rd N,West,,3.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5144750565, 43.6475482443)}"
5917014,13556,BP-44723,850,Humberwood Blvd,Humberwood Blvd,East,Pinecone Dr,North,,1.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.6201061182, 43.7287830143)}"
5917015,13557,BP-44706,101,Eglinton Ave E,Eglinton Ave E,South,Dunfield Ave,East,,12.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3947793122, 43.7073788165)}"
5917016,13558,BP-44673,39,Jarvis St,Jarvis St,East,King St E,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3716293772, 43.65007215)}"
5917017,13559,BP-44686,155,University Ave,University Ave,East,Adelaide St W,South,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3851285336, 43.6484766002)}"
5917018,13560,BP-44709,98,Lillian St,Lillian St,West,Eglinton Ave E,South,,12.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.394120423, 43.7073345969)}"
5917019,13563,BP-44677,330,Bay St,Bay St,West,Adelaide St W,North,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3810276088, 43.6502618585)}"
5917020,13564,BP-44726,,Edgeware Dr,Edgeware Dr,South,Foch Ave,East,,3.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.544325997, 43.5927856175)}"
5917021,13566,BP-44725,,Edgeware Dr,Edgeware Dr,South,Foch Ave,East,,3.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5443549308, 43.5927729503)}"
5917022,13567,BP-44722,194,Royal York Rd,Royal York Rd,West,Vanevery St,South,,3.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.496540254, 43.61158492)}"
5917023,13569,BP-44717,1199,Weston Rd,Weston Rd,North,Oxford Dr,East,,5.0,Mount Dennis,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.491543023, 43.687834021)}"
5917024,13571,BP-28322,404,Sherbourne St,Sherbourne St,West,Homewood Ave,East,,13.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3737747666, 43.6647068172)}"
5917025,13572,BP-30310,747,College St,College St,South,Shaw St,East,,11.0,Little Italy,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.419682593, 43.6549563566)}"
5917026,13573,BP-32858,1482,Bathurst St,Bathurst St,West,Ln N St Clair W Bathurst,North,,12.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4186318686, 43.6836786085)}"
5917027,13574,BP-28394,197,Wellesley St E,Wellesley St E,South,Bleecker St,West,,13.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3738544097, 43.6671873311)}"
5917028,13575,BP-30180,923,College St,College St,South,Dovercourt Rd,East,,9.0,College Promenade,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4258632775, 43.6536343895)}"
5917029,13576,BP-23381,11,Kennedy Park Rd,Bloor St W,North,Ellis Park Rd,North,,4.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4712873397, 43.6523196433)}"
5917030,13577,BP-33188,22,Front St W,Front St W,North,Bay St,East,,13.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3782760171, 43.6462888293)}"
5917031,13578,BP-31310,2592,Yonge St,Albertus Ave,North,Yonge St,West,,8.0,Uptown Yonge,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4001934654, 43.7145607676)}"
5917032,13579,BP-30142,565,College St,College St,South,Manning Ave,West,,11.0,Little Italy,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4128075292, 43.6553577576)}"
5917033,13580,BP-20681,330,University Ave,University Ave,West,Michael Sweet Ave,South,,10.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3873643303, 43.651852535)}"
5917034,13581,BP-32503,268,College St,Spadina Ave,West,Ln N College E Spadina,South,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4002956233, 43.6581240861)}"
5917035,13582,BP-25205,2455,Danforth Ave,Danforth Ave,South,Westlake Ave,East,,19.0,Danforth Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3040057517, 43.6876165395)}"
5917036,13583,BP-29168,148,Nassau St,Bathurst St,East,Nassau St,South,,11.0,Kensington Market,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4065362388, 43.6538407907)}"
5917037,13584,BP-26610,162,Spadina Rd,Spadina Rd,West,Dupont St,South,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4068780893, 43.674025673)}"
5917038,13586,BP-21575,468,King St W,King St W,North,Spadina Ave,West,,10.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3959169271, 43.64535064)}"
5917039,13587,BP-26347,1777A,Avenue Rd,Avenue Rd,East,Melrose Ave,South,,8.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.418430762, 43.7295665537)}"
5917040,13589,BP-22573,730,Bay St,Hayter St,South,La Plante Ave,East,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3857267822, 43.6590629464)}"
5917041,13590,BP-26853,101,Niagara St,Niagara St,South,Tecumseth St,East,,10.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4038244595, 43.641458154)}"
5917042,13591,BP-36794,997,Bloor St W,Bloor St W,South,Ln W Dovercourt S Bloor,East,,9.0,Bloorcourt Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4300738562, 43.6609103315)}"
5917043,13592,BP-29976,1774,Eglinton Ave W,Eglinton Ave W,North,Dufferin N Eglinton E Ramp,East,,8.0,York-Eglinton,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4485929336, 43.6961433108)}"
5917044,13593,BP-27263,745,Danforth Ave,Danforth Ave,South,Eaton Ave,East,,14.0,Greektown on the Danforth,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3425567744, 43.6793050577)}"
5917045,13594,BP-29831,146,Baldwin St,Baldwin St,North,Spadina Ave,West,,11.0,Chinatown,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3994534284, 43.6550563002)}"
5917046,13597,BP-33776,1602,Dundas St W,Dundas St W,North,Brock Ave,East,,9.0,Little Portugal,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4352062462, 43.6499301479)}"
5917047,13598,BP-26948,27,Canniff St,Canniff St,South,Strachan Ave,West,,10.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.412081199, 43.641338945)}"
5917048,13599,BP-22113,222,St Patrick St,St Patrick St,West,Elm St,South,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3907579416, 43.655758843)}"
5917049,13600,BP-25417,928,Dundas St W,Dundas St W,North,Ln E Grace N Dundas,East,,11.0,Trinity-Bellwoods,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4132551263, 43.6508996632)}"
5917050,13602,BP-36784,1,Westmoreland Ave,Bloor St W,North,Ln W Dovercourt S Bloor,North,,9.0,Bloorcourt Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.430187062, 43.661066115)}"
5917051,13603,BP-34959,1236,Bloor St W,Bloor St W,North,Margueretta St,East,,9.0,Bloordale Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4394974459, 43.6590877503)}"
5917052,13605,BP-21117,98,Queen St E,Queen St E,North,Mutual St,East,,13.0,Historic Queen East,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3738402525, 43.6536435777)}"
5917053,13606,BP-27015,449A,Dovercourt Rd,Dovercourt Rd,East,College St,North,,9.0,College Promenade,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4264802037, 43.6540482382)}"
5917054,13607,BP-25114,490,Bloor St W,Bloor St W,North,Howland Ave,West,,11.0,Bloor Annex,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4096635192, 43.6655194549)}"
5917055,13608,BP-32987,43,Madison Ave,Madison Ave,East,Lowther Ave,South,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4034221094, 43.6689157493)}"
5917056,13609,BP-34202,1054,Coxwell Ave,Coxwell Ave,West,Ln S O Connor W Coxwell,South,,14.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3293768979, 43.6970800309)}"
5917057,13610,BP-23211,1159,Queen St W,Queen St W,South,Northcote Ave,East,,9.0,West Queen West,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4254673355, 43.6427868399)}"
5917058,13611,BP-27990,14,Markham St,Markham St,West,Wolseley St,South,,10.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4055566384, 43.6476105313)}"
5917059,13612,BP-33506,1920,Gerrard St E,Gerrard St E,North,Glenmore Rd,East,,19.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3116790128, 43.6805380209)}"
5917060,13613,BP-31761,25,Canterbury Pl,Canterbury Pl,East,Churchill Ave,South,,18.0,Willowdale,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4149229598, 43.7728264802)}"
5917061,13614,BP-34098,1614,Bloor St W,Bloor St W,North,Ln W Alhambra S Bloor,West,,4.0,Bloor By The Park,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4554423072, 43.6557687364)}"
5917062,13615,BP-31977,2146,Dundas St W,Dundas St W,East,Ritchie Ave,East,,4.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4498708171, 43.6530202687)}"
5917063,13616,BP-31994,580,Parliament St,Parliament St,West,Darling Lane,East,,13.0,Cabbagetown,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3694536485, 43.6676902813)}"
5917064,13617,BP-32000,554,Parliament St,Parliament St,West,Prospect St,South,,13.0,Cabbagetown,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3691306098, 43.6669156443)}"
5917065,13618,BP-32005,111,Wellington St W,York St,West,Wellington St W,South,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3829844028, 43.6463270509)}"
5917066,13619,BP-32013,120,Wellington St W,York St,West,Wellington St W,North,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3832024568, 43.6468575354)}"
5917067,13620,BP-32016,130,Adelaide St W,Adelaide St W,North,York St,East,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3835606719, 43.6493663019)}"
5917068,13621,BP-32044,521,Parliament St,Parliament St,East,Aberdeen Ave,North,,13.0,Cabbagetown,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3682855076, 43.6653202221)}"
5917069,13622,BP-32060,517A,Parliament St,Parliament St,East,Aberdeen Ave,North,,13.0,Cabbagetown,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3682112143, 43.6651364552)}"
5917070,13623,BP-32064,71,Winchester St,Metcalfe St,West,Winchester St,South,,13.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3671871, 43.6659273695)}"
5917071,13624,BP-32065,591,Parliament St,Parliament St,East,Amelia St,North,,13.0,Cabbagetown,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3692224204, 43.6676346588)}"
5917072,13625,BP-32075,520,Parliament St,Parliament St,West,Winchester St,North,,13.0,Cabbagetown,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3687707874, 43.6660052238)}"
5917073,13626,BP-32087,530,Parliament St,Parliament St,West,Lancaster Ave,South,,13.0,Cabbagetown,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3688966198, 43.6663187227)}"
5917074,13627,BP-32090,2255A,Queen St E,Queen St E,South,Hammersmith Ave,East,,19.0,The Beach,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2942201787, 43.6712140548)}"
5917075,13628,BP-34112,2340,Dundas St W,Bloor St W,North,Dundas St W,East,,4.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4513575832, 43.6566510761)}"
5917076,13630,BP-34157,558,Bloor St W,Bloor St W,North,Bathurst St,West,,11.0,Mirvish Village,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4114566416, 43.6651435938)}"
5917077,13631,BP-34172,483,Bloor St W,Brunswick Ave,West,Bloor St W,South,,11.0,Bloor Annex,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4074097438, 43.6656566592)}"
5917078,13635,BP-32101,2234,Queen St E,Queen St E,North,Beech Ave,East,,19.0,The Beach,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2873795925, 43.6727564786)}"
5917079,13636,BP-32105,2259,Queen St E,Queen St E,South,Hammersmith Ave,East,,19.0,The Beach,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2940807378, 43.6712339216)}"
5917080,13637,BP-32115,2166,Queen St E,Queen St E,North,Maclean Ave,West,,19.0,The Beach,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2911888095, 43.6719681434)}"
5917081,13638,BP-32116,2491A,Queen St E,Queen St E,South,Neville Park Blvd,West,,19.0,The Beach,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.281944361, 43.6737478529)}"
