"id","checkinAvg","checkoutAvg"
7497,90,81
7501,6,6
7502,348,346
7503,7,8
7504,17,11
7505,114,99
7506,62,76
7508,181,165
7509,83,62
7510,36,41
7514,186,174
7515,49,50
7516,26,27
7517,33,27
7518,124,111
7519,55,90
7520,43,42
7521,100,106
7522,43,53
7523,165,161
7524,395,399
7525,49,40
7526,67,71
7527,19,21
7528,20,51
7529,12,20
7530,89,99
7531,112,131
7533,235,226
7534,240,234
7535,122,126
7536,164,203
7537,51,56
7538,23,23
7539,24,22
7540,52,68
7541,50,52
7542,407,383
7543,244,244
7544,144,175
7545,206,223
7546,76,98
7547,193,191
7548,308,356
7549,136,131
7551,215,220
7552,7,7
7553,12,11
7554,32,32
7555,16,13
7556,17,14
7557,28,31
7558,29,25
7559,15,23
7560,8,15
7561,75,74
7562,30,34
7563,21,19
7564,12,17
7565,17,18
7566,31,22
7567,14,16
7568,69,60
7569,197,205
7570,174,153
7571,63,63
7572,5,8
7573,13,13
7575,287,284
7576,168,169
7577,114,94
7578,152,134
7579,20,27
7580,73,85
7581,54,47
7583,16,20
7584,25,34
7585,29,19
7586,9,11
7587,7,5
7588,15,15
7589,9,11
7590,18,19
7591,1,10
7593,20,18
7594,51,57
7595,42,49
7596,54,71
7597,9,9
7598,6,11
7599,161,170
7600,50,66
7601,66,51
7602,17,20
7603,7,16
7604,9,17
7605,14,19
7606,12,10
7607,15,20
7608,65,62
7609,11,22
7610,26,24
7611,31,28
7612,8,6
7613,2,2
7614,2,2
7615,6,7
7616,28,32
7618,33,44
7619,10,11
7620,51,49
7621,5,6
7622,17,17
7623,37,32
7624,2,4
7625,15,13
7626,11,10
7627,118,117
7629,32,37
7630,19,20
7631,7,2
7632,31,43
7633,80,51
7634,295,298
7635,50,49
7636,20,24
7637,9,10
7639,23,15
7640,43,49
7641,17,24
7642,111,131
7643,11,14
7644,29,36
7646,105,123
7647,398,397
7648,88,91
7649,31,27
7650,37,33
7651,106,124
7653,50,44
7654,54,58
7655,59,78
7656,100,113
7657,168,188
7658,25,31
7659,16,19
7660,83,76
7662,83,84
7663,7,8
7664,36,32
7665,20,21
7666,40,42
7667,14,20
