"stName","trafficCountAvg","trafficlightCount","bikeStationCount","subwayStationCount","bikeShopCount"
"durant ave",55.71875,1,0,0,0
"durie st",80.96875,1,4,0,0
"duval dr",641.46875,1,0,0,0
"earlington ave",38.09375,1,0,0,0
"east ave",102.9375,1,0,0,0
"eastern ave",1862.0625,6,2,0,0
"eastern ave diversion",700.53125,2,0,0,0
"edge park ave",37.875,1,0,0,0
"edwin ave",360.53125,1,0,0,0
"eglinton ave",3901.40625,9,0,1,0
"eglinton ave e",1194.625,1,1,0,0
"eglinton ave e / go station",403.90625,1,0,0,0
"elizabeth st",515.46875,1,3,0,0
"ellesmere rd",223.40625,1,0,1,0
"ellis park rd",337.96875,1,0,0,0
"emerson ave",316,1,1,0,0
"englemount ave",577.25,1,0,0,0
"erindale ave",348.53125,1,0,0,0
"erskine ave",516.34375,2,2,0,0
"euclid ave",65.84375,1,8,0,0
"evans ave",1113.40625,1,0,0,0
"evermede dr",29.53125,1,0,0,0
"fairford ave",75.5625,1,0,0,0
"fallingbrook dr",76.71875,1,0,0,0
"fallingbrook rd",76.71875,1,0,0,0
"fawcett trl and hupfield trl",100.375,1,0,0,0
"faywood blvd",588.375,3,0,0,0
"felstead ave",46.40625,1,0,0,0
"fernwood gnds",171.40625,1,0,0,0
"finch ave e",758.21875,1,0,0,0
"finch ave w",1997.5625,5,0,0,0
"first st",231.1875,1,0,0,0
"fleming dr",145.40625,1,0,0,0
"florence ave",41,1,0,0,0
"floyd ave",27.125,1,0,0,0
"forbes ave",417.0625,1,0,0,0
"fort york blvd",315.96875,1,1,0,0
"four winds dr",68.78125,1,0,0,0
"frankdale ave",37.65625,1,0,0,0
"franklin ave",52.15625,1,0,0,0
"frederick st",495.25,1,1,0,0
"freeman st",91.53125,1,0,0,0
"front st",2178.0625,6,1,0,0
"front st e",1603.9375,3,2,0,1
"fulton ave",69.28125,1,3,0,0
"galloway rd",583.75,1,0,0,0
"gardens cres",28.03125,1,0,0,0
"gardiner expy ramp",555.5,1,0,0,0
"gardiner expy w/b off-ramp",245.125,1,0,0,0
"geary ave",1494.4375,5,0,0,1
"george henry blvd",47.6875,1,0,0,0
"george st",633.1875,3,1,0,0
"george st s",203.875,1,0,0,0
"gerrard st",2211.375,6,6,0,0
"gerrard st e",1227.375,3,2,0,0
