"","station_id","checkin_total","checkout_total","street1","street2","at_ttc"
"107","7109",153,166,"Seaton St","Dundas St E - SMART",FALSE
"108","7110",202,197,"Queen St E","Berkeley St",FALSE
"109","7111",280,273,"King St W","Douro St",FALSE
"110","7112",33,30,"Liberty St","Fraser Ave Green P",FALSE
"111","7113",273,279,"Parliament St","Aberdeen Ave",FALSE
"112","7114",323,343,"Carlton St","Parliament St",FALSE
"113","7115",189,231,"Howard St","Sherbourne St",FALSE
"114","7116",57,67,"Parliament St","Bloor St E",FALSE
"115","7117",63,74,"Castle Frank Station","",TRUE
"116","7118",124,109,"King St W","Bay St (East Side)",FALSE
"117","7119",210,225,"Sumach St","Carlton St. (Riverdale Farm)",FALSE
"118","7120",163,154,"Gerrard St E","River St",FALSE
"119","7121",577,573,"Jarvis St","Dundas St E",FALSE
"120","7122",61,46,"Niagara St","Tecumseth St",FALSE
"121","7123",64,63,"424 Wellington St W - SMART","",FALSE
"122","7124",222,197,"Dundas St E","Broadview Ave",FALSE
"123","7126",258,254,"Yonge St","Yorkville Ave",FALSE
"124","7127",102,118,"Bay St","Davenport Rd",FALSE
"125","7128",50,57,"Yonge St","Aylmer Ave",FALSE
"126","7129",156,162,"Davenport Rd","Avenue Rd",FALSE
"127","7130",127,157,"Davenport Rd","Bedford Rd",FALSE
"128","7131",195,207,"Taddle Creek Park","",FALSE
"129","7132",57,68,"Kendal Ave","Spadina Rd",FALSE
"130","7133",82,80,"Summerhill Station","",TRUE
"131","7134",82,100,"Marlborough Ave","Yonge St",FALSE
"132","7135",137,134,"Hanna Ave","Liberty St",FALSE
"133","7136",126,114,"Queen St W","Close Ave",FALSE
"134","7137",36,32,"Davenport Rd","Bathurst St",FALSE
"135","7138",75,65,"Davenport Rd","Christie St",FALSE
"136","7139",66,59,"Glen Edyth Dr","Davenport Rd",FALSE
"137","7140",137,139,"Macpherson Ave","Spadina Rd",FALSE
"138","7141",78,106,"Bridgeman Ave","Kendal Ave - SMART",FALSE
"139","7142",56,51,"Bridgeman Ave","Bathurst St",FALSE
"140","7143",94,99,"Kendal Ave","Bernard Ave",FALSE
"141","7144",98,105,"Palmerston Ave","Vermont Ave",FALSE
"142","7146",69,109,"Christie St","Benson Ave (Wychwood Barns)",FALSE
"143","7147",55,46,"King St W","Fraser Ave",FALSE
"144","7148",231,215,"King St W","Joe Shuster Way",FALSE
"145","7149",139,139,"Yarmouth Rd","Christie St",FALSE
"146","7150",150,139,"Dufferin St","Sylvan Av (Dufferin Grove Park)",FALSE
"147","7151",98,124,"Essex St","Christie St - SMART",FALSE
"148","7152",98,105,"Ossington Ave","Bloor St W",FALSE
"149","7153",222,227,"Bloor St W","Christie St",FALSE
"150","7154",157,170,"Bathurst Subway Station","",TRUE
"151","7155",107,108,"Bathurst St","Lennox St",FALSE
"152","7156",111,127,"Salem Ave","Bloor St W",FALSE
"153","7157",48,60,"Dufferin St","Bloor St",FALSE
"154","7158",162,149,"King St W","Stafford St",FALSE
"155","7160",308,295,"King St W","Tecumseth St",FALSE
"156","7161",101,99,"Beverley St","College St",FALSE
"157","7162",285,253,"Hayter St","Laplante Ave",FALSE
"158","7163",415,437,"Yonge St","Wood St",FALSE
"159","7164",366,361,"Gould St","Yonge St (Ryerson University)",FALSE
"160","7167",158,143,"Queen St E","George St (Moss Park)",FALSE
"161","7168",433,401,"Queens Quay","Yonge St",FALSE
"162","7169",91,102,"Front St W","Bay St (North Side)",FALSE
"163","7170",52,83,"Spadina Ave","Willcocks St",FALSE
"164","7171",344,345,"Ontario Place Blvd","Lake Shore Blvd W (East)",FALSE
"165","7172",81,95,"Strachan Ave","Princes' Blvd",FALSE
"166","7173",77,99,"Cariboo St","Rail Path",FALSE
"167","7174",124,108,"Bloor St W","Dundas St W",FALSE
"168","7175",323,311,"HTO Park (Queens Quay W)","",FALSE
"169","7176",280,286,"Bathurst St","Fort York Blvd",FALSE
"170","7177",337,330,"East Liberty St","Pirandello St",FALSE
"171","7178",103,99,"Dundas St W","Edna Ave",FALSE
"172","7179",79,82,"Bloor GO","UP Station (West Toronto Railpath)",TRUE
"173","7180",70,83,"Lansdowne Subway Station","",TRUE
"174","7181",40,57,"Lansdowne Ave","Whytock Ave",FALSE
"175","7182",90,94,"Sterling Rd","Dundas St W",FALSE
"176","7183",161,160,"St Clarens Ave","College St",FALSE
"177","7184",124,122,"Ossington Ave","College St",FALSE
"178","7188",85,96,"Exhibition GO (Atlantic Ave)","",FALSE
"179","7189",210,193,"Augusta Ave","Denison Sq",FALSE
"180","7190",95,104,"St. George St","Hoskin Ave",FALSE
"181","7191",154,161,"Central Tech  (Harbord St)","",FALSE
"182","7192",111,129,"Harbord St","Clinton St",FALSE
"183","7193",250,213,"Queen St W","Gladstone Ave",FALSE
"184","7194",75,87,"Mortimer Ave","Coxwell Ave",FALSE
"185","7195",179,206,"Ulster St","Bathurst St",FALSE
"186","7196",65,84,"Roxton Rd","Harbord St",FALSE
"187","7197",132,131,"Queen St W","Dovercourt Rd",FALSE
"188","7198",128,119,"Queen St W","Cowan Ave",FALSE
"189","7199",440,419,"College St","Markham St",FALSE
"190","7202",171,150,"Queen St W","York St (City Hall)",FALSE
"191","7203",362,339,"Bathurst St/Queens Quay(Billy Bishop Airport)","",FALSE
"192","7204",290,272,"College St","Crawford St",FALSE
"193","7205",140,131,"Rusholme Park Cres","College St",FALSE
"194","7206",167,162,"Claremont St","Dundas St W",FALSE
"195","7207",341,335,"Dundas St W","Crawford St",FALSE
"196","7208",132,143,"80 Clinton St (North of College) - SMART","",FALSE
"197","7209",94,77,"Ossington Ave","Harrison St",FALSE
"198","7210",52,36,"Mary McCormick Rec Centre (Sheridan Ave)","",FALSE
"199","7211",319,290,"Fort York Blvd","Garrison Rd",FALSE
"200","7216",157,152,"Wellington St W","Stafford St",FALSE
"201","7217",304,298,"Soho St","Queen St W",FALSE
"202","7220",120,114,"Lake Shore Blvd W","Ellis Ave",FALSE
"203","7221",24,34,"High Park Subway Station","",TRUE
"204","7222",158,143,"Sunnyside - Gus Ryder Pool","",FALSE
"205","7223",61,28,"Parkside Dr","Bloor St W - SMART",FALSE
"206","7224",52,61,"Bloor St W","High Park Ave (High Park)",FALSE
"207","7225",66,65,"Lake Shore Blvd W","Windermere Ave",FALSE
"208","7226",156,176,"Lake Shore Blvd W","The Boulevard Club",FALSE
"209","7227",158,150,"Martin Goodman Trail (Marilyn Bell Park)","",FALSE
"210","7228",165,138,"Queen St W","Roncesvalles Ave",FALSE
"211","7229",23,38,"Dundas St W","Roncesvalles Green P - SMART",FALSE
"212","7230",111,110,"Garden Ave","Roncesvalles Ave",FALSE
"213","7231",57,65,"Wright","Sorauren (Sorauren Park) - SMART",FALSE
"214","7232",95,71,"Queen St W "," Fuller Ave - SMART",FALSE
"215","7233",87,89,"King","Cowan Ave - SMART",FALSE
"216","7234",56,61,"Roncesvalles Ave","Marmaduke St",FALSE
"217","7235",286,305,"Bay St","College St (West Side) - SMART",FALSE
"218","7236",222,200,"Thompson St","Broadview Ave - SMART",FALSE
"219","7237",83,73,"Ward Ave","Wallace Ave",FALSE
"220","7238",70,84,"Sorauren/Geoffrey (Sorauren Park) - SMART","",FALSE
"221","7239",210,245,"Bloor St W","Manning Ave - SMART",FALSE
"222","7240",279,296,"Bloor St W","Shaw Ave - SMART",FALSE
"223","7241",144,157,"519 Church St - SMART","",FALSE
"224","7242",287,305,"Lake Shore Blvd W","Ontario Dr",FALSE
"225","7243",37,32,"Exhibition GO Station","",TRUE
"226","7244",27,21,"Dufferin Gate - SMART","",FALSE
"227","7245",176,169,"Tecumseth St","Queen St W - SMART",FALSE
"228","7246",328,359,"Yonge St","Bloor St",FALSE
"229","7247",46,61,"Howard Park Ave","Dundas St W - SMART",FALSE
"230","7248",415,376,"Baldwin Ave","Spadina Ave - SMART",FALSE
"231","7249",44,37,"Dovercourt Rd","Harrison St (Green P) - SMART",FALSE
"232","7250",124,136,"St. George St","Russell St - SMART",FALSE
"233","7251",334,376,"The Royal Ontario Museum (Bloor St Entrance)","",FALSE
"234","7252",416,413,"Robert St","Bloor St W - SMART",FALSE
"235","7253",434,429,"John St ","Mercer St - SMART",FALSE
"236","7254",197,201,"Borden St","Bloor St W - SMART",FALSE
"237","7255",209,199,"Stewart St","Bathurst St  - SMART",FALSE
"238","7256",272,262,"Vanauley St","Queen St W - SMART",FALSE
"239","7257",351,360,"Dundas St W","St. Patrick St",FALSE
"240","7258",151,149,"Queen St E","Larchmount Ave",FALSE
"241","7259",223,178,"Lower Spadina Ave","Lake Shore Blvd",FALSE
"242","7260",389,400,"Spadina Ave","Adelaide St W",FALSE
"243","7261",536,513,"Queens Quay E","Lower Sherbourne St",FALSE
"244","7262",21,30,"Wychwood Ave","Benson Ave - SMART",FALSE
"245","7263",162,180,"Walton St","Elizabeth St - SMART",FALSE
"246","7264",368,385,"Bloor St E","Huntley St - SMART",FALSE
"247","7265",50,60,"Wallace Ave","Symington Ave - SMART",FALSE
"248","7266",8,7,"Victoria Park Subway Station - SMART","",TRUE
"249","7267",193,198,"Dundas St E","Pembroke St - SMART",FALSE
"250","7268",53,48,"111 Bond St (North of Dundas St E)  - SMART","",FALSE
"251","7269",160,164,"Toronto Eaton Centre (Yonge St)","",FALSE
"252","7270",90,87,"Church St","Dundas St E - SMART",FALSE
"253","7271",292,302,"Yonge St","Alexander St - SMART",FALSE
"254","7272",382,406,"Yonge St","Dundonald St - SMART",FALSE
"255","7273",223,264,"Bay St","Charles St - SMART",FALSE
"256","7274",157,169,"Queen's Park Cres E","Grosvenor St - SMART",FALSE
"257","7275",143,150,"Queen St W","James St",FALSE
"258","7276",167,176,"Bloor St W","Balmuto St",FALSE
"259","7277",137,149,"Chorley Park - SMART","",FALSE
"260","7278",160,140,"Mallon Ave","Jones Ave -SMART",FALSE
"261","7279",29,34,"Rosehill Ave","Avoca Ave - SMART",FALSE
"262","7280",183,243,"Charles St E","Jarvis St - SMART",FALSE
"263","7281",362,396,"Charles St W","Balmuto St - SMART",FALSE
"264","7282",268,247,"Adelaide St W","Bay St - SMART",FALSE
"265","7283",64,96,"Front St W","Bay St (South Side)",FALSE
"266","7284",159,145,"University Ave","King St W - SMART",FALSE
"267","7285",176,200,"Spadina Ave","Harbord St - SMART",FALSE
"268","7286",213,191,"Gerrard St E","Broadview - SMART",FALSE
"269","7287",42,33,"Queen St E","Pape Ave - SMART",FALSE
"270","7288",178,177,"Humber Bay Shores Park West","",FALSE
"271","7289",213,196,"Humber Bay Shores Park East","",FALSE
"272","7291",236,230,"190 Queens Quay E","",FALSE
"273","7292",122,131,"Granby St","Church St - SMART",FALSE
"274","7293",171,170,"College St","McCaul St",FALSE
"275","7296",132,128,"Westmoreland Ave","Fernbank Ave",FALSE
"276","7297",76,73,"Havelock St","Dufferin Park",FALSE
"277","7298",259,283,"Bathurst St","Adelaide St W",FALSE
"278","7299",196,184,"Mill St","Parliament St",FALSE
"279","7301",19,26,"Primrose Ave","Davenport Rd - SMART",FALSE
"280","7302",61,75,"Winona Dr","Davenport Rd",FALSE
"281","7303",40,21,"Queen St E","Woodward Ave",FALSE
"282","7309",89,89,"Queen St. E","Rhodes Ave.",FALSE
"283","7311",406,444,"Sherbourne St","Isabella St",FALSE
"284","7312",125,137,"Amelia St.","Sumach St.",FALSE
"285","7313",61,60,"Coxwell Ave"," Lake Shore Blvd E",FALSE
"286","7314",52,64,"Queen St. E","Eastern Ave",FALSE
"287","7315",27,16,"Queen St E","Hammersmith Ave",FALSE
"288","7316",20,24,"Queen St. E","Spruce Hill Rd.",FALSE
"289","7317",69,70,"Hubbard Blvd","Balsam Av",FALSE
"290","7318",55,60,"Hubbard Blvd.","Glen Manor Dr.",FALSE
"291","7319",43,47,"Lake Shore Blvd E","Knox Ave",FALSE
"292","7320",183,121,"Front St W","University Ave (1)",FALSE
"293","7321",201,136,"Front St W","University Ave (2)",FALSE
"294","7322",86,81,"King St W","Brant St",FALSE
"295","7323",106,109,"457 King St. W. at Spadina","",FALSE
"296","7324",497,463,"King St W","Charlotte St (West)",FALSE
"297","7326",47,53,"Davenport Rd","Lansdowne Ave.",FALSE
"298","7327",46,50,"Davenport Rd","Oakwood Rd - SMART",FALSE
"299","7328",82,95,"Roxborough St W","Yonge St",FALSE
"300","7329",148,130,"Crawford St","Queen St W",FALSE
"301","7330",44,40,"Lee Ave","Queen St E",FALSE
"302","7331",11,17,"Coxwell Ave","Plains Rd",FALSE
"303","7332",68,94,"200 Bloor St. E.","",FALSE
"304","7333",249,235,"King St E","Victoria St",FALSE
"305","7334",74,74,"Simcoe St","Wellington St North",FALSE
"306","7335",92,120,"Bay St","Bloor St W (West Side)",FALSE
"307","7336",50,48,"Queen St E","Alton Av",FALSE
"308","7337",203,178,"Gerrard Square Mall (1010 Gerrard St E)","",FALSE
"309","7338",74,74,"Logan Ave","Bain Ave",FALSE
"310","7339",52,66,"Carlaw Ave","Strathcona Ave",FALSE
"311","7340",48,56,"Blake St","Boultbee Ave",FALSE
"312","7341",32,28,"Eastern Ave","Winnifred Ave",FALSE
"313","7342",97,93,"Morse St","Eastern Ave - SMART",FALSE
"314","7343",76,73,"Alton Ave","Dundas St E (Greenwood Park)",FALSE
"315","7344",220,215,"Cherry Beach","",FALSE
"316","7345",53,62,"Cherry Beach Sports Field (55 Unwin Ave)","",FALSE
"317","7346",104,119,"Logan Av","Gerrard St E",FALSE
"318","7347",13,19,"Regal Rd","Dufferin St",FALSE
"319","7348",56,69,"Pape Ave","Gamble Ave",FALSE
"320","7349",52,64,"Gamble Ave","Broadview Ave",FALSE
"321","7350",87,100,"Broadview Ave","Westwood Ave",FALSE
"322","7351",90,119,"Pretoria Av","Broadview Av",FALSE
"323","7352",59,63,"Cosburn Ave","Donlands Ave",FALSE
"324","7353",27,28,"Fulton Ave","Pape Ave - SMART",FALSE
"325","7354",262,269,"Tommy Thompson Park (Leslie Street Spit)","",FALSE
"326","7355",63,72,"Beltline Trail","Chaplin Cres.",FALSE
"327","7356",116,84,"King St E","Ontario St.",FALSE
"328","7357",479,429,"Lake Shore Blvd E","Leslie St",FALSE
"329","7358",123,143,"Gailbraith Rd","King’s College Cr. (U of T)",FALSE
"330","7359",33,34,"Rosedale Park (20 Schofield Ave)","",FALSE
"331","7360",54,70,"Concord Av","Dewson St",FALSE
"332","7361",51,72,"Hocken Ave./Vaughan Rd.","",FALSE
"333","7362",247,271,"St Clair Ave W","Bathurst St.",FALSE
"334","7363",56,57,"Wells Hill Ave","St Clair Ave W",FALSE
"335","7364",25,21,"Queen St E","Nursewood Rd (Neville Park Loop)",FALSE
"336","7365",66,48,"Kew Beach Ave","Kenilworth Ave",FALSE
"337","7366",201,201,"Fort York Blvd","Bathurst St SMART",FALSE
"338","7367",67,63,"Alma Ave","Gladstone Ave SMART",FALSE
"339","7368",119,112,"Lisgar St","Dundas St SMART",FALSE
"340","7369",88,92,"Dupont St","Emerson Ave SMART",FALSE
"341","7371",5,13,"Eglinton Ave W","Henning Ave SMART",FALSE
"342","7372",223,206,"King St W","Portland St",FALSE
"343","7373",182,159,"George St","King St E",FALSE
"344","7374",128,74,"Frederick St","The Esplanade",FALSE
"345","7375",222,206,"Front St E","Scott St",FALSE
"346","7376",31,26,"Frobisher Ave","Lascelles Blvd",FALSE
"347","7377",40,42,"Balliol St","Yonge St  SMART",FALSE
"348","7378",54,51,"Yonge St","Davisville Ave",FALSE
"349","7379",94,109,"Lawton Blvd","Yonge St",FALSE
"350","7380",51,68,"Erskine Ave","Yonge St SMART",FALSE
"351","7381",71,102,"Roehampton Ave","Yonge St",FALSE
"352","7382",324,307,"Simcoe St","Adelaide St W",FALSE
"353","7383",310,283,"12 Harbour St","",FALSE
"354","7384",132,168,"Cumberland Ave","Bay St SMART",FALSE
"355","7385",150,219,"20 Charles St E","",FALSE
"356","7386",130,146,"D'Arcy St. /McCaul St. SMART","",FALSE
"357","7387",30,38,"Mortimer Ave","Carlaw Ave SMART",FALSE
"358","7388",149,159,"Broadview Ave","Danforth Ave",FALSE
"359","7389",439,412,"College Park- Gerrard Entrance","",FALSE
"360","7391",191,190,"Yonge St","Dundas Sq",FALSE
"361","7392",11,12,"Woodbine Subway Green P SMART","",FALSE
"362","7395",2,2,"Dentonia Park","",FALSE
"363","7398",256,207,"York St","Harbour St",FALSE
"364","7399",476,426,"Lower Jarvis","Queens Quay E",FALSE
"365","7400",53,53,"Polson Pier","",FALSE
"366","7402",153,143,"Wellington St W","Bathurst St",FALSE
"367","7403",33,30,"Lascelles Blvd","Eglinton Ave W - SMART",FALSE
"368","7404",62,76,"Roehampton Ave","Mount Pleasant Rd",FALSE
"369","7406",428,365,"Victoria St","Queen St E",FALSE
"370","7407",76,82,"University Ave","Queen St W",FALSE
"371","7408",91,94,"University Ave","Armoury St - SMART",FALSE
"372","7409",337,365,"Isabella St","Church St",FALSE
"373","7410",121,138,"Howard St","Rose Ave - SMART",FALSE
"374","7411",310,320,"Little Norway Park","",FALSE
"375","7412",199,204,"King St W","Crawford St - SMART",FALSE
"376","7413",30,37,"Dundas St W","Watkinson Ave - SMART",FALSE
"377","7414",51,56,"Keele St","Annette St - SMART",FALSE
"378","7415",41,27,"Keele St","Vine Ave - SMART",FALSE
