"","station_id","checkin_total","checkout_total","street1","street2","at_ttc"
"440","7480",54,58,"Neil McLellan Park - SMART","",FALSE
"441","7481",26,42,"Westmount Ave","St Clair Ave W - SMART",FALSE
"442","7482",35,43,"Danforth Ave","Sibley Ave - SMART",FALSE
"443","7483",31,43,"Southwood Dr","Kingston Rd - SMART",FALSE
"444","7484",13,9,"Briar Hill Ave","Yonge St - SMART",FALSE
"445","7485",25,19,"Blythwood Rd","Yonge St - SMART",FALSE
"446","7486",17,12,"Gerrard St E","Ted Reeve Dr",FALSE
"447","7487",71,64,"Eastwood Rd","Woodbine Ave - SMART",FALSE
"448","7488",39,39,"Summerhill Ave","Maclennan Ave",FALSE
"449","7489",172,154,"Sumach St ","Queen St E",FALSE
"450","7491",339,305,"D'Arcy St","Spadina Ave - SMART",FALSE
"451","7492",160,163,"324 Cherry St - SMART","",FALSE
"452","7493",29,30,"Sackville St","Eastern Ave - SMART",FALSE
"453","7494",64,79,"Davenport Rd","McAlpine St - SMART",FALSE
"454","7496",78,90,"Sunnyside Ave","The Queensway - SMART",FALSE
"455","7497",90,81,"128 Sterling Ave - SMART","",FALSE
"456","7501",6,6,"Humberside Grounds - SMART","",FALSE
"457","7502",348,346,"University Ave","College St (East)",FALSE
"458","7503",7,8,"Gerrard St E","Malvern Ave - SMART",FALSE
"459","7504",17,11,"Gerrard St E","Victoria Park Ave - SMART",FALSE
"460","7505",114,99,"Ontario St","Adelaide St E -SMART",FALSE
"461","7506",62,76,"Berkeley St","Adelaide St E - SMART",FALSE
"462","7508",181,165,"Berkeley St","Dundas St E - SMART",FALSE
"463","7509",83,62,"Ontario St","King St E",FALSE
"464","7510",36,41,"Princes Gate","Nunavut Dr",FALSE
"465","7514",186,174,"Humber Bay Shores Park","Marine Parade Dr",FALSE
"466","7515",49,50,"Amos Waites Park","",FALSE
"467","7516",26,27,"Superior Ave","Lake Shore Blvd W",FALSE
"468","7517",33,27,"Ripley Ave","Ormskirk Ave - SMART",FALSE
"469","7518",124,111,"Lake Shore Blvd W","Colborne Lodge Dr",FALSE
"470","7519",55,90,"Sheridan Ave","Dundas St W - SMART",FALSE
"471","7520",43,42,"St Clarens Ave","Shirley Ave - SMART",FALSE
"472","7521",100,106,"Emerson Ave","Bloor St W - SMART",FALSE
"473","7522",43,53,"Wallace Ave","Pauline Ave - SMART",FALSE
"474","7523",165,161,"Lynn Williams St","East Liberty St",FALSE
"475","7524",395,399,"Lisgar Park","",FALSE
"476","7525",49,40,"Fennings St","Queen St W - SMART",FALSE
"477","7526",67,71,"Bartlett Parkette","",FALSE
"478","7527",19,21,"Joseph J Piccininni Community Centre","",FALSE
"479","7528",20,51,"Spadina Rd","Austin Terrace - SMART",FALSE
"480","7529",12,20,"Symington Ave","Davenport Rd - SMART",FALSE
"481","7530",89,99,"Sherbourne St N","Elm Ave - SMART",FALSE
"482","7531",112,131,"541 Huron St - SMART","",FALSE
"483","7533",235,226,"Housey St","Dan Leckie Way - SMART",FALSE
"484","7534",240,234,"Walnut Ave","Queen St W",FALSE
"485","7535",122,126,"Wolsley St","Palmerston Ave - SMART",FALSE
"486","7536",164,203,"Palmerston Ave","Dundas St W - SMART",FALSE
"487","7537",51,56,"Euclid Ave","Herrick St - SMART",FALSE
"488","7538",23,23,"Vaughan Rd /Wychwood Ave","",FALSE
"489","7539",24,22,"Davisville Ave","Pailton Cres - SMART",FALSE
"490","7540",52,68,"Alvin Ave","St Clair Ave E - SMART",FALSE
"491","7541",50,52,"Bellwoods Ave","Treford Pl - SMART",FALSE
"492","7542",407,383,"Queen St W","John St",FALSE
"493","7543",244,244,"Nassau St","Bellevue Ave",FALSE
"494","7544",144,175,"Foster Pl","Elizabeth St - SMART",FALSE
"495","7545",206,223,"Baldwin St","Henry St - SMART",FALSE
"496","7546",76,98,"Ross St","Cecil St - SMART",FALSE
"497","7547",193,191,"Orde St","McCaul St - SMART",FALSE
"498","7548",308,356,"St Joseph St","Bay St - SMART",FALSE
"499","7549",136,131,"439 Sherbourne St - SMART","",FALSE
"500","7551",215,220,"The Esplanade","Hahn Pl - SMART",FALSE
"501","7552",7,7,"Lake Shore Blvd W","Thirty Ninth Street",FALSE
"502","7553",12,11,"Lake Shore Blvd W","Twenty Fourth St - SMART",FALSE
"503","7554",32,32,"Humber College - SMART","",FALSE
"504","7555",16,13,"Royal York Rd","Mimico Ave",FALSE
"505","7556",17,14,"Windsor St","Newcastle St",FALSE
"506","7557",28,31,"The Queensway","High St - SMART",FALSE
"507","7558",29,25,"Berry Rd","Bell Manor Dr",FALSE
"508","7559",15,23,"Swansea Community Centre","",FALSE
"509","7560",8,15,"Glenwood Ave","Runnymede Rd - SMART",FALSE
"510","7561",75,74,"Annette St","Jane St - SMART",FALSE
"511","7562",30,34,"Priscilla  Ave","Dundas St W - SMART",FALSE
"512","7563",21,19,"St Clair Ave W","Castleton Ave - SMART",FALSE
"513","7564",12,17,"Durie St","Dundas St W - SMART",FALSE
"514","7565",17,18,"St Clair Ave W","Gunns Rd - SMART",FALSE
"515","7566",31,22,"Weston Rd","St Clair Ave W - SMART",FALSE
"516","7567",14,16,"Weston Lions Park","",FALSE
"517","7568",69,60,"Jameson Ave","Queen St W",FALSE
"518","7569",197,205,"Toronto Inukshuk Park","",FALSE
"519","7570",174,153,"Carlaw Ave","Dundas St E",FALSE
"520","7571",63,63,"Highfield Rd","Gerrard St E",FALSE
"521","7572",5,8,"Cosburn Ave","Durant Ave - SMART",FALSE
"522","7573",13,13,"Torrens Ave","Broadview Ave",FALSE
"523","7575",287,284,"Bayview Ave","Lawren Harris Square",FALSE
"524","7576",168,169,"Front St E","Bayview Avenue",FALSE
"525","7577",114,94,"Oak St","Sumach St",FALSE
"526","7578",152,134,"Oak St","Parliament St",FALSE
"527","7579",20,27,"Glebe Rd W","Yonge St - SMART",FALSE
"528","7580",73,85,"Hillsdale Ave W","Yonge St - SMART",FALSE
"529","7581",54,47,"High Park Ave","Dundas St W",FALSE
"530","7583",16,20,"Eglinton Ave W","Scarlett Rd",FALSE
"531","7584",25,34,"The Pond Rd","Sentinel Rd",FALSE
"532","7585",29,19,"Sentinel Rd","Finch Hydro Corridor",FALSE
"533","7586",9,11,"Finch West Subway Station","",TRUE
"534","7587",7,5,"Dufferin St","Finch Hydro Recreational Trail",FALSE
"535","7588",15,15,"G Ross Lord Park","",FALSE
"536","7589",9,11,"Torresdale Ave","Antibes Dr",FALSE
"537","7590",18,19,"Esther Shiner Stadium","",FALSE
"538","7591",1,10,"Elwood Blvd","Avenue Rd - SMART",FALSE
"539","7593",20,18,"Roehampton St","Bayview Ave - SMART",FALSE
"540","7594",51,57,"Fleming Cres","Bayview Ave - SMART",FALSE
"541","7595",42,49,"Moore Park","",FALSE
"542","7596",54,71,"Langford Ave","Danforth Ave - SMART",FALSE
"543","7597",9,9,"Yonge St","Golfdale Rd - SMART",FALSE
"544","7598",6,11,"Teddington Park Ave - SMART","",FALSE
"545","7599",161,170,"Richmond St W","York St",FALSE
"546","7600",50,66,"Russell St","Huron St - SMART",FALSE
"547","7601",66,51,"Brick Works","",FALSE
"548","7602",17,20,"Woodbine Ave","O'Connor Dr - SMART",FALSE
"549","7603",7,16,"O'Connor Dr","Curity Ave",FALSE
"550","7604",9,17,"St Columba Pl","St Clair Ave E - SMART",FALSE
"551","7605",14,19,"Lumsden Ave","Eastdale Ave - SMART",FALSE
"552","7606",12,10,"Dawes Rd","Taylor Creek Trl",FALSE
"553","7607",15,20,"Fairmount Park - SMART","",FALSE
"554","7608",65,62,"Wilket Creek Park","",FALSE
"555","7609",11,22,"Sunnybrook Park","",FALSE
"556","7610",26,24,"Kingston Rd","Beech Ave - SMART",FALSE
"557","7611",31,28,"Victoria Park Ave","Danforth Ave - SMART",FALSE
"558","7612",8,6,"Livingston Rd","Guildwood Pkwy",FALSE
"559","7613",2,2,"Livingston Rd (Highland Creek Trail)","",FALSE
"560","7614",2,2,"Morningside Park (Highland Creek Trail)","",FALSE
"561","7615",6,7,"Colonel Danforth Park","",FALSE
"562","7616",28,32,"Waterfront Trail (Rouge Hill)","",FALSE
"563","7618",33,44,"Vaughan Rd","Oakwood Ave - SMART",FALSE
"564","7619",10,11,"Braemar Ave","Eglinton Ave W -SMART",FALSE
"565","7620",51,49,"Eglinton Ave E","Redpath Ave",FALSE
"566","7621",5,6,"Long Branch GO Station","",TRUE
"567","7622",17,17,"Marie Curtis Park","",FALSE
"568","7623",37,32,"Royal York Rd","Lake Shore Blvd W",FALSE
"569","7624",2,4,"Guildwood GO Station (South)","",TRUE
"570","7625",15,13,"Guildwood GO Station (North)","",TRUE
"571","7626",11,10,"Rouge Hill GO Station","",TRUE
"572","7627",118,117,"Shaw St","Essex St",FALSE
"573","7629",32,37,"Lundy Ave","Etienne Brule Park",FALSE
"574","7630",19,20,"Twelfth St","Thirteenth St",FALSE
"575","7631",7,2,"Florence Gell Park","",FALSE
"576","7632",31,43,"Chiltern Hill Rd","Eglinton Ave W - SMART",FALSE
"577","7633",80,51,"Noble St","Queen St W",FALSE
"578","7634",295,298,"University Ave","Gerrard St W (West Side)",FALSE
"579","7635",50,49,"Runnymede Rd","Annette St - SMART",FALSE
"580","7636",20,24,"Bloor St W","Riverside Ave",FALSE
"581","7637",9,10,"Judson St","Royal York",FALSE
"582","7639",23,15,"Riverview Gardens","",FALSE
"583","7640",43,49,"Spadina Rd","St.Clair Ave West",FALSE
"584","7641",17,24,"Annette St","Dundas W",FALSE
"585","7642",111,131,"Yonge St","St Clair Ave",FALSE
"586","7643",11,14,"Oriole Pkwy","Kilbarry Rd",FALSE
"587","7644",29,36,"East Lynn Ave","Danforth Ave",FALSE
"588","7646",105,123,"University Ave","Richmond St W",FALSE
"589","7647",398,397,"Elm St/ University Ave (East)","",FALSE
"590","7648",88,91,"Rosedale Station","",TRUE
"591","7649",31,27,"Greenwood Subway Station","",TRUE
"592","7650",37,33,"St Clair W Subway - Heath Entrance","",FALSE
"593","7651",106,124,"Bloor St W","Gladstone Ave",FALSE
"594","7653",50,44,"Bloor St W","Indian Rd",FALSE
"595","7654",54,58,"Bloor St W","Pacific Ave",FALSE
"596","7655",59,78,"Danforth Ave","Dewhurst Blvd",FALSE
"597","7656",100,113,"Bloor St W","Brock Ave",FALSE
"598","7657",168,188,"1 Market St","",FALSE
"599","7658",25,31,"Holland Park Ave","Oakwood Ave",FALSE
"600","7659",16,19,"NULL","",FALSE
"601","7660",83,76,"NULL","",FALSE
"602","7662",83,84,"NULL","",FALSE
"603","7663",7,8,"NULL","",FALSE
"604","7664",36,32,"NULL","",FALSE
"605","7665",20,21,"NULL","",FALSE
"606","7666",40,42,"NULL","",FALSE
"607","7667",14,20,"NULL","",FALSE
