"","id","stNumber","stName","type"
"4214",7630098,1052,"queen st w","Ring"
"4215",7630099,686,"queen st w","Ring"
"4216",7630100,55,"halton st","Ring"
"4217",7630101,982,"dundas st w","Ring"
"4218",7630102,882,"queen st w","Ring"
"4219",7630103,872,"dundas st w","Ring"
"4220",7630104,1052,"dundas st w","Ring"
"4221",7630105,1080,"queen st w","Ring"
"4222",7630106,1173,"dundas st w","Ring"
"4223",7630107,900,"queen st w","Ring"
"4224",7630108,1140,"dundas st w","Ring"
"4225",7630109,684,"queen st w","Ring"
"4226",7630110,700,"queen st w","Ring"
"4227",7630111,1255,"dundas st w","Ring"
"4228",7630112,797,"dundas st w","Ring"
"4229",7630113,84,"elizabeth st","Ring"
"4230",7630114,92,"chestnut st","Ring"
"4231",7630115,89,"chestnut st","Ring"
"4232",7630116,2,"shuter st","Ring"
"4233",7630117,20,"albert st","Ring"
"4234",7630118,20,"albert st","Ring"
"4235",7630119,50,"queen st w","Ring"
"4236",7630120,131,"church st","Ring"
"4237",7630122,310,"front st w","Ring"
"4238",7630123,255,"bremner blvd","Ring"
"4239",7630124,603,"davenport rd","Ring"
"4240",7630125,115,"winona dr","Ring"
"4241",7630126,651,"dufferin st","Ring"
"4242",7630127,603,"davenport rd","Ring"
"4243",7630128,573,"christie st","Ring"
"4244",7630129,573,"christie st","Ring"
"4245",7630130,603,"davenport rd","Ring"
"4246",7630131,129,"mc caul st","Ring"
"4247",7630132,140,"mc caul st","Ring"
"4248",7630133,339,"queens quay w","Ring"
"4249",7630134,176,"elm st","Ring"
"4250",7630135,330,"lansdowne ave","Ring"
"4251",7630136,354,"lansdowne ave","Ring"
"4252",7630137,123,"margueretta st","Ring"
"4253",7630138,111,"victoria st","Ring"
"4254",7630139,85,"queen st e","Ring"
"4255",7630140,99,"queen st e","Ring"
"4256",7630141,58,"richmond st e","Ring"
"4257",7630142,600,"danforth ave","Ring"
"4258",7630143,600,"danforth ave","Ring"
"4259",7630144,745,"danforth ave","Ring"
"4260",7630145,583,"danforth ave","Ring"
"4261",7630146,115,"cumberland st","Ring"
"4262",7630147,115,"cumberland st","Ring"
"4263",7630148,215,"spadina ave","Ring"
"4264",7630150,381,"spadina ave","Ring"
"4265",7630151,349,"spadina ave","Ring"
"4266",7630152,185,"college st","Ring"
"4267",7630153,221,"spadina ave","Ring"
"4268",7630155,500,"dundas st w","Ring"
"4269",7630157,215,"spadina ave","Ring"
"4270",7630158,337,"spadina ave","Ring"
"4271",7630159,165,"spadina ave","Ring"
"4272",7630160,185,"spadina ave","Ring"
"4273",7630161,173,"spadina ave","Ring"
"4274",7630162,414,"richmond st w","Ring"
"4275",7630163,21,"atlantic ave","Ring"
"4276",7630164,70,"east liberty st","Ring"
"4277",7630165,43,"hanna ave","Ring"
"4278",7630166,107,"atlantic ave","Ring"
"4279",7630167,50,"lynn williams st","Ring"
"4280",7630168,22,"liberty st","Ring"
"4281",7630169,70,"east liberty st","Ring"
"4282",7630170,19,"atlantic ave","Ring"
"4283",7630171,30,"lynn williams st","Ring"
"4284",7630172,3136,"yonge st","Ring"
"4285",7630173,926,"yonge st","Ring"
"4286",7630174,98,"davenport rd","Ring"
"4287",7630175,3325,"bloor st w","Ring"
"4288",7630176,1226,"islington ave","Ring"
"4289",7630177,2522,"lake shore blvd w","Ring"
"4290",7630181,3009,"bloor st w","Ring"
"4291",7630182,2,"jackson ave","Ring"
"4292",7630183,2448,"lake shore blvd w","Ring"
"4293",7630184,3369,"bloor st w","Ring"
"4294",7630185,2993,"bloor st w","Ring"
"4295",7630187,428,"summerhill ave","Ring"
"4296",7630188,83,"albany ave","Ring"
"4297",7630189,278,"dupont st","Ring"
"4298",7630190,332,"bloor st w","Ring"
"4299",7630192,332,"bloor st w","Ring"
"4300",7630193,278,"dupont st","Ring"
"4301",7630194,420,"dupont st","Ring"
"4302",7630195,1500,"avenue rd","Ring"
"4303",7630196,12,"cam fella lane","Ring"
"4304",7630197,129,"waverley rd","Ring"
"4305",7630198,1529,"queen st e","Ring"
"4306",7630199,268,"rhodes ave","Ring"
"4307",7630200,29,"woodward ave","Ring"
"4308",7630201,914,"queen st e","Ring"
"4309",7630202,918,"queen st e","Ring"
"4310",7630203,742,"queen st e","Ring"
"4311",7630204,970,"queen st e","Ring"
"4312",7630205,630,"queen st e","Ring"
"4313",7630206,1176,"queen st e","Ring"
"4314",7630207,481,"roncesvalles ave","Ring"
"4315",7630208,379,"roncesvalles ave","Ring"
"4316",7630209,339,"roncesvalles ave","Ring"
"4317",7630210,60,"grosvenor st","Ring"
"4318",7630211,101,"college st","Ring"
"4319",7630212,3,"scollard st","Ring"
"4320",7630213,101,"college st","Ring"
"4321",7630214,76,"college st","Ring"
"4322",7630217,5460,"yonge st","Ring"
"4323",7630219,185,"eastern ave","Ring"
"4324",7630220,29,"lower river st","Ring"
"4325",7630221,20,"palace st","Ring"
"4326",7630222,185,"eastern ave","Ring"
"4327",7630223,382,"roncesvalles ave","Ring"
"4328",7630224,115,"howard park ave","Ring"
"4329",7630225,2293,"dundas st w","Ring"
"4330",7630226,115,"howard park ave","Ring"
"4331",7630227,9,"hewitt ave","Ring"
"4332",7630228,2015,"dundas st w","Ring"
"4333",7630229,40,"bedford rd","Ring"
"4334",7630230,660,"pape ave","Ring"
"4335",7630231,649,"danforth ave","Ring"
"4336",7630232,815,"danforth ave","Ring"
"4337",7630233,499,"jones ave","Ring"
"4338",7630234,667,"danforth ave","Ring"
"4339",7630235,239,"college st","Ring"
"4340",7630236,215,"spadina ave","Ring"
"4341",7630237,229,"spadina ave","Ring"
"4342",7630238,215,"spadina ave","Ring"
"4343",7630239,349,"spadina ave","Ring"
"4344",7630240,367,"spadina ave","Ring"
"4345",7630243,205,"spadina ave","Ring"
"4346",7630244,185,"spadina ave","Ring"
"4347",7630245,241,"spadina ave","Ring"
"4348",7630246,429,"spadina ave","Ring"
"4349",7630247,349,"spadina ave","Ring"
"4350",7630248,37,"hanna ave","Ring"
"4351",7630249,56,"atlantic ave","Ring"
"4352",7630250,120,"lynn williams st","Ring"
"4353",7630251,25,"liberty st","Ring"
"4354",7630252,81,"ranleigh ave","Ring"
"4355",7630253,3147,"yonge st","Ring"
"4356",7630254,252,"college st","Ring"
"4357",7630255,250,"college st","Ring"
"4358",7630256,200,"spadina ave","Ring"
"4359",7630257,274,"spadina ave","Ring"
"4360",7630258,374,"spadina ave","Ring"
"4361",7630259,250,"college st","Ring"
"4362",7630260,3185,"yonge st","Ring"
"4363",7630261,412,"spadina ave","Ring"
"4364",7630262,194,"spadina ave","Ring"
"4365",7630264,194,"spadina ave","Ring"
"4366",7630266,222,"college st","Ring"
"4367",7630267,210,"spadina ave","Ring"
"4368",7630268,422,"spadina ave","Ring"
"4369",7630270,184,"college st","Ring"
"4370",7630271,626,"college st","Ring"
"4371",7630272,626,"college st","Ring"
"4372",7630273,546,"college st","Ring"
"4373",7630274,459,"college st","Ring"
"4374",7630275,586,"college st","Ring"
"4375",7630276,766,"college st","Ring"
"4376",7630277,634,"college st","Ring"
"4377",7630278,460,"manning ave","Ring"
"4378",7630279,452,"college st","Ring"
"4379",7630280,470,"college st","Ring"
"4380",7630281,602,"college st","Ring"
"4381",7630282,590,"college st","Ring"
"4382",7630283,414,"manning ave","Ring"
"4383",7630284,558,"college st","Ring"
"4384",7630285,615,"college st","Ring"
"4385",7630286,710,"college st","Ring"
"4386",7630287,30,"withrow ave","Ring"
"4387",7630288,370,"danforth ave","Ring"
"4388",7630289,101,"danforth ave","Ring"
"4389",7630290,740,"gerrard st e","Ring"
"4390",7630291,455,"danforth ave","Ring"
"4391",7630292,12,"cam fella lane","Ring"
"4392",7630293,1590,"queen st e","Ring"
"4393",7630294,165,"avenue rd","Ring"
"4394",7630295,165,"avenue rd","Ring"
"4395",7630296,101,"niagara st","Ring"
"4396",7630297,877,"king st w","Ring"
"4397",7630298,120,"tecumseth st","Ring"
"4398",7630299,70,"stafford st","Ring"
"4399",7630300,600,"fleet st","Ring"
"4400",7630303,9,"tecumseth st","Ring"
"4401",7630304,822,"richmond st w","Rack"
"4402",7630305,128,"strachan ave","Ring"
"4403",7630306,9,"tecumseth st","Ring"
"4404",7630307,1005,"king st w","Ring"
"4405",7630308,1,"snooker st","Ring"
"4406",7630309,1,"snooker st","Ring"
"4407",7630310,132,"hallam st","Ring"
"4408",7630311,805,"dovercourt rd","Ring"
"4409",7630312,805,"dovercourt rd","Ring"
"4410",7630313,860,"dupont st","Ring"
"4411",7630314,840,"dupont st","Ring"
"4412",7630315,840,"dupont st","Ring"
"4413",7630316,264,"beatrice st","Ring"
"4414",7630317,983,"bloor st w","Ring"
"4415",7630318,261,"davenport rd","Ring"
"4416",7630319,326,"davenport rd","Ring"
"4417",7630320,88,"bernard ave","Ring"
"4418",7630321,174,"st george st","Ring"
"4419",7630322,400,"bloor st w","Ring"
"4420",7630323,2322,"danforth ave","Ring"
"4421",7630324,2163,"danforth ave","Ring"
"4422",7630325,2458,"danforth ave","Ring"
"4423",7630326,2208,"danforth ave","Ring"
"4424",7630327,2406,"danforth ave","Ring"
"4425",7630328,327,"main st","Ring"
"4426",7630329,2203,"danforth ave","Ring"
"4427",7630330,1266,"yonge st","Ring"
"4428",7630331,2,"roxborough st e","Ring"
"4429",7630332,2649,"islington ave","Ring"
"4430",7630333,3114,"danforth ave","Ring"
"4431",7630334,910,"dundas st w","Ring"
"4432",7630335,785,"dundas st w","Ring"
"4433",7630336,134,"ossington ave","Ring"
"4434",7630337,714,"queen st w","Ring"
"4435",7630338,287,"ossington ave","Ring"
"4436",7630339,1140,"dundas st w","Ring"
"4437",7630340,796,"dundas st w","Ring"
"4438",7630341,51,"ossington ave","Ring"
"4439",7630342,846,"dundas st w","Ring"
"4440",7630343,3733,"lake shore blvd w","Ring"
"4441",7630345,1371,"neilson rd","Ring"
"4442",7630346,125,"queen's park","Ring"
"4443",7630347,145,"queen st w","Ring"
"4444",7630348,120,"bayview ave","Ring"
"4445",7630349,5101,"yonge st","Ring"
"4446",7630350,5089,"yonge st","Ring"
"4447",7630351,5211,"yonge st","Ring"
"4448",7630352,384,"spadina ave","Ring"
"4449",7630354,222,"college st","Ring"
"4450",7630356,184,"college st","Ring"
"4451",7630358,274,"spadina ave","Ring"
"4452",7630360,392,"spadina ave","Ring"
"4453",7630361,254,"college st","Ring"
"4454",7630362,246,"spadina ave","Ring"
"4455",7630363,706,"college st","Ring"
"4456",7630364,474,"college st","Ring"
"4457",7630365,474,"college st","Ring"
"4458",7630366,572,"college st","Ring"
"4459",7630367,609,"college st","Ring"
"4460",7630368,576,"college st","Ring"
"4461",7630369,562,"college st","Ring"
"4462",7630370,706,"college st","Ring"
"4463",7630371,706,"college st","Ring"
"4464",7630372,626,"college st","Ring"
"4465",7630373,473,"broadview ave","Ring"
"4466",7630374,144,"danforth ave","Ring"
"4467",7630375,742,"broadview ave","Ring"
"4468",7630376,257,"danforth ave","Ring"
"4469",7630377,113,"simpson ave","Ring"
"4470",7630378,123,"danforth ave","Ring"
"4471",7630379,486,"danforth ave","Ring"
"4472",7630380,359,"danforth ave","Ring"
"4473",7630381,820,"logan ave","Ring"
"4474",7630382,2989,"lake shore blvd w","Ring"
"4475",7630383,3316,"lake shore blvd w","Ring"
"4476",7630385,663,"gerrard st e","Ring"
"4477",7630386,283,"danforth ave","Ring"
"4478",7630387,635,"gerrard st e","Ring"
"4479",7630388,2970,"lake shore blvd w","Ring"
"4480",7630389,2897,"lake shore blvd w","Ring"
"4481",7630391,2970,"lake shore blvd w","Ring"
"4482",7630392,2931,"lake shore blvd w","Ring"
"4483",7630393,2976,"lake shore blvd w","Ring"
"4484",7630394,420,"eglinton ave w","Ring"
"4485",7630395,1967,"yonge st","Ring"
"4486",7630396,257,"eglinton ave w","Ring"
"4487",7630397,542,"eglinton ave w","Ring"
"4488",7630398,380,"eglinton ave w","Ring"
"4489",7630399,2036,"yonge st","Ring"
"4490",7630400,1889,"avenue rd","Ring"
"4491",7630402,641,"dupont st","Ring"
"4492",7630403,650,"dupont st","Ring"
"4493",7630404,118,"christie st","Ring"
"4494",7630405,653,"dupont st","Ring"
"4495",7630406,560,"palmerston ave","Ring"
"4496",7630407,40,"rossmore rd","Ring"
"4497",7630408,101,"davenport rd","Ring"
"4498",7630409,926,"yonge st","Ring"
"4499",7630410,3018,"bloor st w","Ring"
"4500",7630411,1,"grenview blvd n","Ring"
"4501",7630412,2943,"bloor st w","Ring"
"4502",7630413,3101,"bloor st w","Ring"
"4503",7630414,141,"st george st","Ring"
"4504",7630415,206,"st george st","Ring"
"4505",7630416,14,"prince arthur ave","Ring"
"4506",7630417,2050,"danforth ave","Ring"
"4507",7630418,83,"front st e","Rack"
"4508",7630419,74,"front st e","Ring"
"4509",7630420,249,"greenwood ave","Ring"
"4510",7630421,584,"kingston rd","Ring"
"4511",7630422,1420,"lake shore blvd e","Ring"
"4512",7630423,47,"woodmount ave","Ring"
"4513",7630424,1000,"coxwell ave","Ring"
"4514",7630425,840,"coxwell ave","Ring"
"4515",7630426,455,"glebeholme blvd","Ring"
"4516",7630427,1450,"o'connor dr","Ring"
"4517",7630428,640,"dundas st e","Ring"
"4518",7630429,25,"yorkville ave","Ring"
"4519",7630430,473,"bloor st w","Ring"
"4520",7630431,1002,"bathurst st","Ring"
"4521",7630432,1012,"bathurst st","Ring"
"4522",7630433,525,"bloor st w","Ring"
"4523",7630435,908,"bathurst st","Ring"
"4524",7630436,425,"bloor st w","Ring"
"4525",7630437,1751,"lake shore blvd w","Ring"
"4526",7630438,1751,"lake shore blvd w","Ring"
"4527",7630439,894,"queen st w","Ring"
"4528",7630441,1000,"queen st w","Ring"
"4529",7630442,888,"queen st w","Ring"
"4530",7630443,990,"queen st w","Ring"
"4531",7630444,65,"grace st","Ring"
"4532",7630445,777,"dundas st w","Ring"
"4533",7630446,790,"dundas st w","Ring"
"4534",7630447,304,"danforth ave","Ring"
"4535",7630448,586,"gerrard st e","Ring"
"4536",7630449,171,"hampton ave","Ring"
"4537",7630450,30,"withrow ave","Ring"
"4538",7630451,100,"bain ave","Ring"
"4539",7630452,446,"danforth ave","Ring"
"4540",7630453,739,"gerrard st e","Ring"
"4541",7630454,623,"gerrard st e","Ring"
"4542",7630455,138,"princess st","Ring"
"4543",7630456,150,"front st e","Ring"
"4544",7630457,100,"front st e","Ring"
"4545",7630458,1751,"lake shore blvd w","Ring"
"4546",7630459,1751,"lake shore blvd w","Ring"
"4547",7630460,2414,"bloor st w","Ring"
"4548",7630461,71,"jane st","Ring"
"4549",7630463,2444,"bloor st w","Ring"
"4550",7630464,802,"broadview ave","Ring"
"4551",7630465,817,"broadview ave","Ring"
"4552",7630466,1021,"pape ave","Ring"
"4553",7630468,940,"broadview ave","Ring"
"4554",7630469,2944,"lake shore blvd w","Ring"
"4555",7630470,5487,"dundas st w","Ring"
"4556",7630471,5485,"dundas st w","Ring"
"4557",7630472,3468,"lake shore blvd w","Ring"
"4558",7630473,3197,"lake shore blvd w","Ring"
"4559",7630474,3180,"lake shore blvd w","Ring"
"4560",7630475,3170,"lake shore blvd w","Ring"
"4561",7630476,3025,"lake shore blvd w","Ring"
"4562",7630477,1170,"bay st","Ring"
"4563",7630478,44,"charles st w","Ring"
"4564",7630479,44,"charles st w","Ring"
"4565",7630480,423,"richmond st w","Ring"
"4566",7630481,423,"richmond st w","Ring"
"4567",7630483,82,"spadina ave","Ring"
"4568",7630484,44,"spadina ave","Ring"
"4569",7630485,450,"front st w","Ring"
"4570",7630486,44,"camden st","Ring"
"4571",7630487,434,"adelaide st w","Ring"
"4572",7630488,1539,"queen st w","Ring"
"4573",7630489,1501,"queen st w","Ring"
"4574",7630490,1475,"queen st w","Ring"
"4575",7630492,220,"cowan ave","Ring"
"4576",7630493,219,"dufferin st","Ring"
"4577",7630494,139,"spadina ave","Ring"
"4578",7630495,139,"spadina ave","Ring"
"4579",7630496,1273,"queen st w","Ring"
"4580",7630497,1261,"queen st w","Ring"
"4581",7630498,137,"jefferson ave","Ring"
"4582",7630499,30,"jefferson ave","Ring"
"4583",7630500,3343,"bloor st w","Ring"
"4584",7630502,36,"brentwood rd n","Ring"
"4585",7630503,747,"the queensway","Ring"
"4586",7630504,843,"danforth ave","Ring"
"4587",7630505,617,"danforth ave","Ring"
"4588",7630506,118,"chatham ave","Ring"
"4589",7630507,659,"pape ave","Ring"
"4590",7630508,649,"danforth ave","Ring"
"4591",7630509,86,"blake st","Ring"
"4592",7630510,843,"danforth ave","Ring"
"4593",7630511,745,"danforth ave","Ring"
"4594",7630512,215,"spadina ave","Ring"
"4595",7630513,414,"richmond st w","Ring"
"4596",7630514,397,"spadina ave","Ring"
"4597",7630515,405,"spadina ave","Ring"
"4598",7630516,175,"college st","Ring"
"4599",7630517,239,"college st","Ring"
"4600",7630518,219,"college st","Ring"
"4601",7630519,197,"spadina ave","Ring"
"4602",7630520,197,"spadina ave","Ring"
"4603",7630521,337,"spadina ave","Ring"
"4604",7630522,378,"queen st w","Ring"
"4605",7630523,215,"spadina ave","Ring"
"4606",7630524,215,"spadina ave","Ring"
"4607",7630525,323,"spadina ave","Ring"
"4608",7630526,323,"spadina ave","Ring"
"4609",7630527,267,"spadina ave","Ring"
"4610",7630528,215,"spadina ave","Ring"
"4611",7630529,223,"college st","Ring"
"4612",7630530,337,"spadina ave","Ring"
"4613",7630531,325,"parliament st","Ring"
"4614",7630532,640,"dundas st e","Ring"
"4615",7630533,86,"parliament st","Ring"
"4616",7630534,22,"russell st","Ring"
"4617",7630535,33,"russell st","Ring"
"4618",7630536,1296,"queen st e","Ring"
"4619",7630537,1512,"queen st e","Ring"
"4620",7630538,1300,"queen st e","Ring"
"4621",7630539,1275,"queen st e","Ring"
"4622",7630540,1342,"queen st e","Ring"
"4623",7630541,808,"church st","Ring"
"4624",7630542,802,"church st","Ring"
"4625",7630543,773,"yonge st","Ring"
"4626",7630544,808,"church st","Ring"
"4627",7630545,160,"bloor st e","Ring"
"4628",7630546,808,"church st","Ring"
"4629",7630547,802,"church st","Ring"
"4630",7630548,1235,"bay st","Ring"
"4631",7630549,70,"cumberland st","Ring"
"4632",7630550,10,"bellair st","Ring"
"4633",7630551,86,"scollard st","Ring"
"4634",7630552,263,"queens quay e","Ring"
"4635",7630554,18,"lower jarvis st","Ring"
"4636",7630555,31,"britain st","Ring"
"4637",7630556,67,"berkeley st","Ring"
"4638",7630557,85,"lower jarvis st","Ring"
"4639",7630558,219,"queen st e","Ring"
"4640",7630559,73,"barrington ave","Ring"
"4641",7630560,1305,"dundas st w","Ring"
"4642",7630561,2178,"bloor st w","Ring"
"4643",7630562,19,"st john's rd","Ring"
"4644",7630563,1250,"king st w","Ring"
"4645",7630564,26,"duncan st","Rack"
"4646",7630565,150,"john st","Ring"
"4647",7630566,20,"st george st","Ring"
"4648",7630567,20,"st george st","Ring"
"4649",7630568,37,"shuter st","Ring"
"4650",7630569,354,"lansdowne ave","Ring"
"4651",7630570,219,"harbord st","Ring"
"4652",7630571,1422,"dundas st w","Ring"
"4653",7630572,1346,"dundas st w","Ring"
"4654",7630573,1284,"dundas st w","Ring"
"4655",7630574,1492,"dundas st w","Ring"
"4656",7630575,386,"harbord st","Ring"
"4657",7630576,1081,"queen st w","Ring"
"4658",7630577,1006,"queen st w","Ring"
"4659",7630578,154,"ossington ave","Ring"
"4660",7630579,1590,"dundas st w","Ring"
"4661",7630581,778,"broadview ave","Ring"
"4662",7630582,317,"adelaide st w","Ring"
"4663",7630583,110,"st george st","Ring"
"4664",7630584,1440,"dundas st w","Ring"
"4665",7630585,121,"st george st","Ring"
"4666",7630586,180,"spadina ave","Ring"
"4667",7630587,61,"bellevue ave","Ring"
"4668",7630588,142,"st patrick st","Ring"
"4669",7630589,500,"university ave","Ring"
"4670",7630590,339,"queens quay w","Ring"
"4671",7630591,339,"queens quay w","Ring"
"4672",7630592,473,"oakwood ave","Ring"
"4673",7630593,1754,"eglinton ave w","Ring"
"4674",7630594,129,"college st","Ring"
"4675",7630595,1364,"dundas st w","Ring"
"4676",7630596,1108,"eglinton ave w","Ring"
"4677",7630597,1100,"eglinton ave w","Ring"
"4678",7630598,989,"eglinton ave w","Ring"
"4679",7630599,883,"eglinton ave w","Ring"
"4680",7630600,200,"wellington st w","Ring"
"4681",7630601,434,"king st w","Ring"
"4682",7630602,161,"wellington st w","Ring"
"4683",7630603,333,"adelaide st w","Ring"
"4684",7630604,156,"front st w","Ring"
"4685",7630605,430,"king st w","Ring"
"4686",7630608,160,"danforth ave","Ring"
"4687",7630609,626,"queen st w","Ring"
"4688",7630610,786,"annette st","Ring"
"4689",7630611,3,"chaplin cres","Ring"
"4690",7630612,200,"king st e","Ring"
"4691",7630613,1514,"queen st w","Ring"
"4692",7630614,1416,"queen st w","Ring"
"4693",7630615,1496,"queen st w","Ring"
"4694",7630616,1694,"queen st w","Ring"
"4695",7630617,1612,"queen st w","Ring"
"4696",7630618,1706,"queen st w","Ring"
"4697",7630619,1536,"queen st w","Ring"
"4698",7630620,1370,"queen st w","Ring"
"4699",7630621,1458,"queen st w","Ring"
"4700",7630622,214,"wellington st w","Ring"
"4701",7630623,214,"wellington st w","Ring"
"4702",7630624,165,"bathurst st","Ring"
"4703",7630625,56,"dan leckie way","Ring"
"4704",7630626,56,"dan leckie way","Ring"
"4705",7630629,678,"bathurst st","Ring"
"4706",7630630,684,"bathurst st","Ring"
"4707",7630631,161,"harbord st","Ring"
"4708",7630632,107,"scollard st","Ring"
"4709",7630633,97,"scollard st","Ring"
"4710",7630634,55,"scollard st","Ring"
"4711",7630635,1300,"bay st","Ring"
"4712",7630636,96,"northcliffe blvd","Ring"
"4713",7630637,941,"st clair ave w","Ring"
"4714",7630638,1672,"dufferin st","Ring"
"4715",7630639,138,"oakwood ave","Ring"
"4716",7630640,1180,"st clair ave w","Ring"
"4717",7630642,934,"st clair ave w","Ring"
"4718",7630643,1660,"dufferin st","Ring"
"4719",7630644,138,"oakwood ave","Ring"
"4720",7630645,779,"st clair ave w","Ring"
"4721",7630646,162,"major st","Ring"
"4722",7630647,209,"harbord st","Ring"
"4723",7630648,3,"borden st","Ring"
"4724",7630649,207,"harbord st","Ring"
"4725",7630650,320,"huron st","Ring"
"4726",7630651,75,"harbord st","Ring"
"4727",7630652,75,"lansdowne ave","Ring"
"4728",7630653,38,"noble st","Ring"
"4729",7630654,88,"laird dr","Ring"
"4730",7630655,2180,"yonge st","Ring"
"4731",7630656,232,"danforth ave","Ring"
"4732",7630657,360,"danforth ave","Ring"
"4733",7630659,888,"dupont st","Ring"
"4734",7630660,489,"quebec ave","Ring"
"4735",7630661,330,"keele st","Ring"
"4736",7630662,375,"sumach st","Ring"
"4737",7630663,620,"mount pleasant rd","Ring"
"4738",7630664,1177,"yonge st","Ring"
"4739",7630665,1867,"yonge st","Ring"
"4740",7630666,1640,"queen st w","Ring"
"4741",7630667,1504,"queen st w","Ring"
"4742",7630668,56,"dan leckie way","Ring"
"4743",7630669,56,"dan leckie way","Ring"
"4744",7630670,95,"bathurst st","Ring"
"4745",7630671,106,"bathurst st","Ring"
"4746",7630672,140,"bathurst st","Ring"
"4747",7630673,441,"mount pleasant rd","Ring"
"4748",7630674,292,"spadina ave","Ring"
"4749",7630675,521,"dundas st w","Ring"
"4750",7630676,286,"harbord st","Ring"
"4751",7630678,786,"st clair ave w","Ring"
"4752",7630679,729,"st clair ave w","Ring"
"4753",7630680,2180,"yonge st","Ring"
"4754",7630681,77,"st clair ave e","Ring"
"4755",7630682,1424,"bloor st w","Ring"
"4756",7630683,1266,"bloor st w","Ring"
"4757",7630684,1249,"bloor st w","Ring"
"4758",7630685,1204,"bloor st w","Ring"
"4759",7630686,1274,"bloor st w","Ring"
"4760",7630687,94,"berkeley st","Ring"
"4761",7630688,475,"front st e","Ring"
"4762",7630689,430,"front st e","Ring"
"4763",7630690,16,"hendon ave","Ring"
"4764",7630691,461,"cherry st","Ring"
"4765",7630692,125,"queens wharf rd","Ring"
"4766",7630693,80,"hayden st","Ring"
"4767",7630694,175,"bloor st e","Ring"
"4768",7630695,550,"jarvis st","Ring"
"4769",7630696,71,"charles st e","Ring"
"4770",7630697,1015,"broadview ave","Ring"
"4771",7630698,483,"eastern ave","Ring"
"4772",7630699,2345,"yonge st","Ring"
"4773",7630700,2660,"yonge st","Ring"
"4774",7630701,2161,"yonge st","Ring"
"4775",7630702,522,"university ave","Ring"
"4776",7630703,731,"queen st e","Ring"
"4777",7630705,4,"kenwood ave","Ring"
"4778",7630707,36,"vaughan rd","Ring"
"4779",7630708,791,"st clair ave w","Ring"
"4780",7630709,550,"jarvis st","Ring"
"4781",7630710,1,"ted rogers way","Ring"
"4782",7630711,225,"king st w","Ring"
"4783",7630712,227,"front st e","Ring"
"4784",7630713,138,"princess st","Ring"
"4785",7630714,1000,"dupont st","Ring"
"4786",7630715,800,"lansdowne ave","Ring"
"4787",7630716,1375,"dupont st","Ring"
"4788",7630717,651,"queen st w","Ring"
"4789",7630718,1355,"yonge st","Ring"
"4790",7630719,250,"davisville ave","Ring"
"4791",7630720,148,"augusta ave","Ring"
"4792",7630722,1561,"eglinton ave w","Ring"
"4793",7630723,532,"palmerston blvd","Ring"
"4794",7630724,271,"queen st w","Ring"
"4795",7630725,380,"queen st e","Ring"
"4796",7630726,319,"queen st e","Ring"
"4797",7630727,5607,"yonge st","Ring"
"4798",7630728,5697,"yonge st","Ring"
"4799",7630730,77,"river st","Ring"
"4800",7630731,469,"front st e","Ring"
"4801",7630732,16,"hendon ave","Ring"
"4802",7630733,85,"queens wharf rd","Ring"
"4803",7630734,51,"niagara st","Ring"
"4804",7630735,62,"bathurst st","Ring"
"4805",7630736,110,"charles st e","Ring"
"4806",7630737,133,"bloor st e","Ring"
"4807",7630738,625,"church st","Ring"
"4808",7630739,634,"church st","Ring"
"4809",7630740,550,"jarvis st","Ring"
"4810",7630741,80,"hayden st","Ring"
"4811",7630742,1015,"broadview ave","Ring"
"4812",7630743,2646,"yonge st","Ring"
"4813",7630744,672,"dupont st","Ring"
"4814",7630745,6,"st clair ave e","Ring"
"4815",7630747,1,"st clair ave e","Ring"
"4816",7630748,6,"st clair ave e","Ring"
"4817",7630749,791,"st clair ave w","Ring"
"4818",7630750,579,"st clair ave w","Ring"
"4819",7630751,631,"st clair ave w","Ring"
"4820",7630753,5,"roehampton ave","Ring"
"4821",7630756,56,"vaughan rd","Ring"
"4822",7630757,485,"huron st","Ring"
"4823",7630759,20,"charles st e","Ring"
"4824",7630760,1,"charles st e","Ring"
"4825",7630761,140,"charles st w","Ring"
"4826",7630762,140,"charles st w","Ring"
"4827",7630763,140,"charles st w","Ring"
"4828",7630764,141,"dundas st w","Ring"
"4829",7630765,141,"dundas st w","Ring"
"4830",7630766,531,"bay st","Ring"
"4831",7630767,1140,"bloor st w","Ring"
"4832",7630769,1396,"bloor st w","Ring"
"4833",7630770,51,"eglinton ave e","Ring"
"4834",7630771,709,"millwood rd","Ring"
"4835",7630772,1818,"bayview ave","Ring"
"4836",7630773,1577,"bayview ave","Ring"
"4837",7630774,1500,"bayview ave","Ring"
"4838",7630775,1820,"bayview ave","Ring"
"4839",7630776,1818,"bayview ave","Ring"
"4840",7630777,178,"eglinton ave e","Ring"
"4841",7630778,485,"huron st","Ring"
"4842",7630779,245,"dupont st","Ring"
"4843",7630780,738,"spadina ave","Ring"
"4844",7630781,140,"charles st w","Ring"
"4845",7630782,13,"charles st w","Ring"
"4846",7630786,48,"hayden st","Ring"
"4847",7630787,140,"charles st w","Ring"
"4848",7630788,140,"charles st w","Ring"
"4849",7630789,1,"charles st e","Ring"
"4850",7630790,93,"charles st w","Ring"
"4851",7630791,353,"bay st","Ring"
"4852",7630792,375,"bay st","Ring"
