"","id","stNumber","stName","type"
"157",7625814,447,"dovercourt rd","Ring"
"158",7625815,1230,"dundas st w","Ring"
"159",7625816,1241,"dundas st w","Ring"
"160",7625817,1241,"dundas st w","Ring"
"161",7625818,1241,"dundas st w","Ring"
"162",7625819,1239,"dundas st w","Ring"
"163",7625820,1239,"dundas st w","Ring"
"164",7625821,1239,"dundas st w","Ring"
"165",7625822,1229,"dundas st w","Ring"
"166",7625823,55,"halton st","Ring"
"167",7625824,55,"halton st","Ring"
"168",7625825,55,"halton st","Ring"
"169",7625826,55,"halton st","Ring"
"170",7625827,176,"bellwoods ave","Ring"
"171",7625828,176,"bellwoods ave","Ring"
"172",7625829,866,"dundas st w","Ring"
"173",7625830,862,"dundas st w","Ring"
"174",7625831,862,"dundas st w","Ring"
"175",7625832,858,"dundas st w","Ring"
"176",7625833,85,"richmond st w","Ring"
"177",7625834,85,"richmond st w","Ring"
"178",7625835,480,"dundas st e","Ring"
"179",7625836,480,"dundas st e","Ring"
"180",7625837,229,"queen st e","Ring"
"181",7625838,133,"richmond st w","Ring"
"182",7625839,229,"queen st e","Ring"
"183",7625840,170,"york st","Ring"
"184",7625841,170,"university ave","Ring"
"185",7625842,160,"adelaide st w","Ring"
"186",7625843,160,"adelaide st w","Ring"
"187",7625844,141,"adelaide st w","Ring"
"188",7625845,141,"adelaide st w","Ring"
"189",7625846,279,"yonge st","Ring"
"190",7625847,26,"wellington st e","Ring"
"191",7625848,26,"wellington st e","Ring"
"192",7625849,26,"wellington st e","Ring"
"193",7625850,26,"wellington st e","Ring"
"194",7625851,105,"front st e","Ring"
"195",7625852,147,"lower jarvis st","Ring"
"196",7625853,141,"lower jarvis st","Ring"
"197",7625854,125,"george st","Ring"
"198",7625855,21,"dundonald st",NA
"199",7625856,2210,"yonge st","Ring"
"200",7625857,9,"morrow ave",NA
"201",7625858,1,"grenville st",NA
"202",7625859,1554,"queen st w",NA
"203",7625860,145,"queens quay w","Ring"
"204",7625861,61,"hanna ave",NA
"205",7625862,194,"wellesley st e",NA
"206",7625863,3,"queen st e",NA
"207",7625864,550,"eglinton ave w","Rack"
"208",7625865,2458,"bloor st w",NA
"209",7625866,100,"sorauren ave","Rack"
"210",7625868,194,"wellesley st e",NA
"211",7625869,145,"queens quay w",NA
"212",7625870,131,"dunn ave",NA
"213",7625871,302,"eglinton ave w",NA
"214",7625872,382,"bathurst st",NA
"215",7625873,3,"chaplin cres",NA
"216",7625874,27,"roncesvalles ave",NA
"217",7625875,1802,"eglinton ave w","Ring"
"218",7625876,2178,"bloor st w",NA
"219",7625877,149,"christie st","Ring"
"220",7625878,149,"christie st","Ring"
"221",7625879,238,"christie st","Ring"
"222",7625880,238,"christie st","Ring"
"223",7625881,18,"madison ave","Ring"
"224",7625882,316,"bloor st w","Ring"
"225",7625883,238,"bloor st w","Ring"
"226",7625884,238,"bloor st w","Ring"
"227",7625885,238,"bloor st w","Ring"
"228",7625886,33,"phoebe st","Ring"
"229",7625887,33,"phoebe st","Ring"
"230",7625888,33,"phoebe st","Ring"
"231",7625889,33,"phoebe st","Ring"
"232",7625890,266,"queens quay w","Ring"
"233",7625891,266,"queens quay w","Ring"
"234",7625892,266,"queens quay w","Ring"
"235",7625893,218,"queens quay w","Ring"
"236",7625894,218,"queens quay w","Ring"
"237",7625895,8,"york st","Ring"
"238",7625896,8,"york st","Ring"
"239",7625897,8,"york st","Ring"
"240",7625898,8,"york st","Ring"
"241",7625899,8,"york st","Ring"
"242",7625900,92,"peter st","Ring"
"243",7625901,92,"peter st","Ring"
"244",7625902,30,"nelson st","Ring"
"245",7625903,199,"richmond st w","Ring"
"246",7625904,199,"richmond st w","Ring"
"247",7625905,199,"richmond st w","Ring"
"248",7625906,111,"bathurst st","Ring"
"249",7625907,111,"bathurst st","Ring"
"250",7625908,111,"bathurst st","Ring"
"251",7625909,626,"richmond st w","Ring"
"252",7625910,626,"bathurst st","Ring"
"253",7625911,775,"king st w","Ring"
"254",7625912,775,"king st w","Ring"
"255",7625913,705,"king st w","Ring"
"256",7625914,705,"king st w","Ring"
"257",7625915,705,"king st w","Ring"
"258",7625916,88,"ossington ave","Ring"
"259",7625917,59,"ossington ave","Ring"
"260",7625918,20,"bruyeres mews","Ring"
"261",7625919,231,"fort york blvd","Ring"
"262",7625920,640,"fleet st","Ring"
"263",7625921,640,"fleet st","Ring"
"264",7625922,640,"fleet st","Ring"
"265",7625923,231,"fort york blvd","Ring"
"266",7625924,231,"fort york blvd","Ring"
"267",7625925,449,"king st w","Ring"
"268",7625926,260,"adelaide st w","Ring"
"269",7625927,438,"dundas st w","Ring"
"270",7625928,668,"king st w","Ring"
"271",7625929,668,"king st w","Ring"
"272",7625930,16,"york st","Ring"
"273",7625931,16,"york st","Ring"
"274",7625932,420,"dupont st","Ring"
"275",7625933,96,"denison ave","Ring"
"276",7625934,96,"denison ave","Ring"
"277",7625935,96,"denison ave","Ring"
"278",7625936,270,"king st w","Ring"
"279",7625937,270,"king st w","Ring"
"280",7625938,1544,"dundas st w","Ring"
"281",7625939,1544,"dundas st w","Ring"
"282",7625940,1544,"dundas st w","Ring"
"283",7625941,1544,"dundas st w","Ring"
"284",7625942,1544,"dundas st w","Ring"
"285",7625943,316,"bloor st w","Ring"
"286",7625944,693,"bathurst st","Ring"
"287",7625945,693,"bathurst st","Ring"
"288",7625946,144,"front st w","Ring"
"289",7625948,1879,"eglinton ave w","Ring"
"290",7625949,1000,"bay st","Ring"
"291",7625950,832,"bay st","Ring"
"292",7625951,832,"bay st","Ring"
"293",7625952,832,"bay st","Ring"
"294",7625953,831,"bay st","Ring"
"295",7625954,831,"bay st","Ring"
"296",7625955,831,"bay st","Ring"
"297",7625956,831,"bay st","Ring"
"298",7625957,595,"bay st","Ring"
"299",7625958,595,"bay st","Ring"
"300",7625959,595,"bay st","Ring"
"301",7625960,595,"bay st","Ring"
"302",7625961,285,"victoria st","Ring"
"303",7625962,285,"victoria st","Ring"
"304",7625963,285,"victoria st","Ring"
"305",7625964,285,"victoria st","Ring"
"306",7625965,1,"queens quay w","Ring"
"307",7625966,1,"queens quay w","Ring"
"308",7625967,1,"queens quay w","Ring"
"309",7625968,38,"the esplanade","Ring"
"310",7625969,38,"the esplanade","Ring"
"311",7625970,38,"the esplanade","Ring"
"312",7625971,98,"the esplanade","Ring"
"313",7625972,98,"the esplanade","Ring"
"314",7625973,98,"the esplanade","Ring"
"315",7625974,98,"the esplanade","Ring"
"316",7625975,189,"the esplanade","Ring"
"317",7625976,150,"york st","Ring"
"318",7625977,150,"york st","Ring"
"319",7625978,480,"dundas st e","Ring"
"320",7625979,159,"yonge st","Ring"
"321",7625980,159,"yonge st","Ring"
"322",7625981,320,"bay st","Ring"
"323",7625982,320,"bay st","Ring"
"324",7625983,895,"bloor st w","Ring"
"325",7625984,891,"bloor st w","Ring"
"326",7625985,924,"bloor st w","Ring"
"327",7625986,864,"bathurst st","Ring"
"328",7625987,864,"bathurst st","Ring"
"329",7625988,689,"bloor st w","Ring"
"330",7625989,699,"bloor st w","Ring"
"331",7625990,699,"bloor st w","Ring"
"332",7625991,759,"dovercourt rd","Ring"
"333",7625992,979,"bloor st w","Ring"
"334",7625993,953,"ossington ave","Ring"
"335",7625994,283,"spadina ave",NA
"336",7625995,105,"victoria st",NA
"337",7625996,200,"front st w","Ring"
"338",7625997,200,"front st w","Ring"
"339",7625998,1079,"weston rd","Ring"
"340",7625999,49,"grange ave","Ring"
"341",7626000,1545,"bayview ave","Ring"
"342",7626001,49,"grange ave","Ring"
"343",7626002,49,"grange ave","Ring"
"344",7626003,5,"widmer st","Ring"
"345",7626004,5,"widmer st","Ring"
"346",7626005,1545,"bayview ave","Ring"
"347",7626006,549,"danforth ave","Ring"
"348",7626007,549,"danforth ave","Ring"
"349",7626008,549,"danforth ave","Ring"
"350",7626009,4759,"yonge st","Ring"
"351",7626010,1215,"bay st","Ring"
"352",7626011,1215,"bay st","Ring"
"353",7626012,1215,"bay st","Ring"
"354",7626013,1215,"bay st","Ring"
"355",7626014,129,"peter st","Ring"
"356",7626015,129,"peter st","Ring"
"357",7626016,129,"peter st","Ring"
"358",7626017,655,"bay st","Ring"
"359",7626018,289,"niagara st","Ring"
"360",7626019,100,"western battery rd","Ring"
"361",7626020,976,"college st","Ring"
"362",7626021,976,"college st","Ring"
"363",7626022,958,"college st","Ring"
"364",7626023,928,"college st","Ring"
"365",7626024,816,"college st","Ring"
"366",7626025,928,"college st","Ring"
"367",7626026,1004,"college st","Ring"
"368",7626027,136,"isabella st","Ring"
"369",7626028,257,"jarvis st","Ring"
"370",7626029,1004,"college st","Ring"
"371",7626030,257,"jarvis st","Ring"
"372",7626031,132,"jarvis st","Ring"
"373",7626032,135,"yorkville ave","Ring"
"374",7626033,132,"jarvis st","Ring"
"375",7626034,230,"college st","Ring"
"376",7626035,258,"eglinton ave e","Ring"
"377",7626036,585,"queens quay w",NA
"378",7626037,31,"brock ave","Rack"
"379",7626038,1431,"bathurst st",NA
"380",7626039,149,"baldwin st",NA
"381",7626040,819,"bathurst st",NA
"382",7626041,819,"bathurst st",NA
"383",7626042,180,"elizabeth st",NA
"384",7626043,237,"queen st e",NA
"385",7626044,1775,"eglinton ave w",NA
"386",7626045,759,"mount pleasant rd","Ring"
"387",7626046,1892,"eglinton ave w","Ring"
"388",7626047,720,"mount pleasant rd",NA
"389",7626048,700,"university ave",NA
"390",7626049,794,"mount pleasant rd","Ring"
"391",7626051,2210,"yonge st","Ring"
"392",7626052,2704,"danforth ave",NA
"393",7626053,145,"queen st e",NA
"394",7626054,103,"mc caul st",NA
"395",7626055,2419,"yonge st","Ring"
"396",7626056,14,"temperance st","Ring"
"397",7626057,1303,"queen st w","Rack"
"398",7626058,599,"yonge st","Ring"
"399",7626059,907,"kingston rd","Ring"
"400",7626060,3080,"yonge st","Ring"
"401",7626061,77,"howard st",NA
"402",7626062,77,"howard st",NA
"403",7626063,77,"howard st",NA
"404",7626064,77,"howard st",NA
"405",7626065,1497,"queen st w",NA
"406",7626066,156,"coxwell ave",NA
"407",7626067,165,"augusta ave",NA
"408",7626068,21,"dundonald st",NA
"409",7626069,175,"dundas st e","Ring"
"410",7626070,149,"baldwin st",NA
"411",7626071,20,"queen st w","Ring"
"412",7626072,819,"bathurst st",NA
"413",7626073,286,"eglinton ave w","Ring"
"414",7626074,700,"university ave",NA
"415",7626075,324,"richmond st w","Ring"
"416",7626076,700,"university ave",NA
"417",7626077,245,"eglinton ave e","Ring"
"418",7626078,16,"waller ave","Rack"
"419",7626079,201,"sherbourne st",NA
"420",7626080,438,"dundas st e",NA
"421",7626081,1794,"eglinton ave w","Ring"
"422",7626082,77,"gerrard st w","Ring"
"423",7626083,194,"wellesley st e",NA
"424",7626084,106,"king st e",NA
"425",7626085,50,"queen st w","Ring"
"426",7626086,175,"dundas st e","Ring"
"427",7626087,136,"napanee crt",NA
"428",7626088,4709,"dundas st w",NA
"429",7626089,620,"university ave","Ring"
"430",7626090,11,"orde st",NA
"431",7626091,11,"orde st",NA
"432",7626092,180,"john st","Ring"
"433",7626093,2,"sussex ave",NA
"434",7626094,34,"western battery rd",NA
"435",7626095,1229,"queen st w",NA
"436",7626096,375,"adelaide st w",NA
"437",7626097,3079,"dundas st w",NA
"438",7626099,50,"blue jays way","Ring"
"439",7626100,641,"eglinton ave w","Ring"
"440",7626101,20,"albert st","Ring"
"441",7626102,54,"hoskin ave",NA
"442",7626103,604,"king st w","Ring"
"443",7626104,620,"king st w","Ring"
"444",7626105,720,"mount pleasant rd",NA
"445",7626106,2174,"eglinton ave w","Ring"
"446",7626107,87,"avenue rd","Ring"
"447",7626108,149,"baldwin st",NA
"448",7626109,564,"eglinton ave w","Ring"
"449",7626110,650,"king st w","Ring"
"450",7626111,3,"rees st",NA
"451",7626112,620,"university ave","Ring"
"452",7626113,11,"orde st",NA
"453",7626114,620,"king st w","Ring"
"454",7626115,363,"bremner blvd","Ring"
"455",7626116,192,"bloor st w","Ring"
"456",7626117,1545,"bloor st w",NA
"457",7626118,1076,"bay st","Ring"
"458",7626119,1076,"bay st","Ring"
"459",7626120,1076,"bay st","Ring"
"460",7626121,1000,"bay st","Ring"
"461",7626122,1000,"bay st","Ring"
"462",7626123,1000,"bay st","Ring"
"463",7626124,4850,"dundas st w",NA
"464",7626125,15,"dundonald st","Ring"
"465",7626126,180,"elizabeth st",NA
"466",7626127,113,"lansdowne ave","Rack"
"467",7626128,149,"hallam st","Ring"
"468",7626129,438,"university ave","Ring"
"469",7626131,194,"wellesley st e",NA
"470",7626132,30,"western battery rd",NA
"471",7626133,100,"baldwin st",NA
"472",7626134,8,"assiniboine rd","Rack"
"473",7626135,3211,"danforth ave",NA
"474",7626136,330,"dupont st",NA
"475",7626137,33,"walton st",NA
"476",7626138,722,"dufferin st",NA
"477",7626139,573,"yonge st",NA
"478",7626140,2,"st clair ave e","Ring"
"479",7626141,219,"fort york blvd",NA
"480",7626142,77,"howard st",NA
"481",7626143,66,"edward st",NA
"482",7626144,87,"avenue rd","Ring"
"483",7626145,9,"morrow ave",NA
"484",7626146,44,"gerrard st e","Ring"
"485",7626147,61,"hanna ave",NA
"486",7626148,398,"avenue rd",NA
"487",7626149,517,"runnymede rd","Ring"
"488",7626150,1851,"danforth ave",NA
"489",7626151,163,"queen st e",NA
"490",7626152,1881,"eglinton ave w","Ring"
"491",7626153,396,"avenue rd",NA
"492",7626154,175,"dundas st e","Ring"
"493",7626155,149,"college st","Ring"
"494",7626156,102,"atlantic ave",NA
"495",7626157,2992,"bloor st w",NA
"496",7626159,46,"wellesley st e","Ring"
"497",7626160,563,"crawford st",NA
"498",7626161,191,"eglinton ave e","Ring"
"499",7626162,3,"queen st e",NA
"500",7626163,145,"queens quay w",NA
"501",7626164,2803,"dundas st w","Ring"
"502",7626165,180,"elizabeth st",NA
"503",7626166,1499,"queen st w",NA
"504",7626168,55,"bloor st w","Ring"
"505",7626170,230,"college st","Ring"
"506",7626171,504,"vaughan rd",NA
"507",7626172,1505,"gerrard st e",NA
"508",7626173,480,"st clair ave w","Ring"
"509",7626174,720,"mount pleasant rd",NA
"510",7626175,488,"dupont st",NA
"511",7626176,155,"college st","Ring"
"512",7626177,77,"cottingham st",NA
"513",7626178,1,"eglinton ave e","Ring"
"514",7626179,320,"danforth ave",NA
"515",7626180,36,"yonge st",NA
"516",7626181,1497,"queen st w",NA
"517",7626182,1148,"weston rd",NA
"518",7626183,47,"claremont st",NA
"519",7626184,2202,"dundas st w","Ring"
"520",7626185,73,"mc caul st","Ring"
"521",7626186,50,"queen st w","Ring"
"522",7626187,145,"king st e",NA
"523",7626188,125,"bathurst st",NA
"524",7626189,1229,"queen st w",NA
"525",7626190,2,"sussex ave",NA
"526",7626191,641,"eglinton ave w","Ring"
"527",7626192,1859,"eglinton ave w","Ring"
"528",7626193,504,"vaughan rd",NA
"529",7626194,269,"eglinton ave e","Ring"
"530",7626196,480,"st clair ave w","Ring"
"531",7626197,585,"king st w",NA
"532",7626198,1608,"eglinton ave w","Ring"
"533",7626199,3349,"danforth ave","Ring"
"534",7626200,34,"church st",NA
"535",7626201,135,"st clair ave w",NA
"536",7626202,711,"mount pleasant rd",NA
"537",7626203,763,"woodbine ave","Ring"
"538",7626204,794,"mount pleasant rd","Ring"
"539",7626205,2,"assiniboine rd","Rack"
"540",7626206,46,"western battery rd",NA
"541",7626207,270,"armadale ave","Rack"
"542",7626208,935,"queen st w","Rack"
"543",7626209,2803,"dundas st w","Ring"
"544",7626210,27,"roncesvalles ave",NA
"545",7626211,1497,"queen st w",NA
"546",7626213,2218,"bloor st w","Rack"
"547",7626214,140,"the esplanade",NA
"548",7626215,2,"assiniboine rd","Rack"
"549",7626216,70,"the pond rd","Rack"
"550",7626217,334,"donlands ave","Rack"
"551",7626218,1801,"eglinton ave w","Ring"
"552",7626219,1464,"queen st w",NA
"553",7626220,110,"yonge st","Ring"
"554",7626221,252,"soudan ave",NA
"555",7626222,819,"bathurst st",NA
"556",7626223,1,"eglinton ave e","Ring"
"557",7626224,70,"the pond rd","Rack"
"558",7626225,1850,"eglinton ave w","Ring"
"559",7626226,180,"john st","Ring"
"560",7626227,1656,"queen st e","Rack"
"561",7626228,55,"bloor st w","Ring"
"562",7626229,21,"dundonald st",NA
"563",7626230,1974,"weston rd",NA
"564",7626231,33,"walton st",NA
"565",7626232,332,"bloor st w",NA
"566",7626233,144,"cumberland st","Ring"
"567",7626234,144,"cumberland st","Ring"
"568",7626235,1087,"yonge st","Ring"
"569",7626236,1087,"yonge st","Ring"
"570",7626237,500,"glencairn ave","Ring"
"571",7626238,387,"dundas st e","Ring"
"572",7626239,500,"glencairn ave","Ring"
"573",7626240,387,"dundas st e","Ring"
"574",7626241,608,"church st","Ring"
"575",7626242,608,"church st","Ring"
"576",7626243,499,"bathurst st","Ring"
"577",7626244,499,"bathurst st","Ring"
"578",7626245,499,"bathurst st","Ring"
"579",7626246,352,"front st w","Ring"
"580",7626247,352,"front st w","Ring"
"581",7626248,352,"front st w","Ring"
"582",7626249,178,"st george st","Ring"
"583",7626250,178,"st george st","Ring"
"584",7626251,865,"dovercourt rd","Ring"
"585",7626252,86,"sudbury st","Ring"
"586",7626253,32,"lisgar st","Ring"
"587",7626254,68,"sudbury st","Ring"
"588",7626255,12,"douro st","Ring"
"589",7626256,12,"douro st","Ring"
"590",7626257,1331,"yonge st","Ring"
"591",7626259,171,"gore vale ave","Ring"
"592",7626260,1652,"keele st","Ring"
"593",7626261,628,"fleet st","Ring"
"594",7626262,21,"grand magazine st","Ring"
"595",7626263,21,"grand magazine st","Ring"
"596",7626264,65,"shank st","Ring"
"597",7626265,994,"dundas st w","Ring"
"598",7626266,994,"dundas st w","Ring"
"599",7626267,994,"dundas st w","Ring"
"600",7626268,749,"dovercourt rd","Ring"
"601",7626269,533,"st clair ave w","Ring"
"602",7626270,101,"college st","Ring"
"603",7626271,313,"sherbourne st","Ring"
"604",7626272,608,"sherbourne st","Ring"
"605",7626273,566,"church st","Ring"
"606",7626274,540,"yonge st","Ring"
"607",7626275,540,"yonge st","Ring"
"608",7626276,540,"yonge st","Ring"
"609",7626277,111,"geary ave","Ring"
"610",7626278,111,"geary ave","Ring"
"611",7626279,115,"geary ave","Ring"
"612",7626280,1830,"davenport rd","Ring"
"613",7626281,3355,"dundas st w","Ring"
"614",7626282,373,"eglinton ave w",NA
"615",7626283,3355,"dundas st w","Ring"
"616",7626284,1317,"st clair ave w","Ring"
"617",7626285,409,"bloor st e","Ring"
"618",7626286,819,"bathurst st",NA
"619",7626287,650,"king st w","Ring"
"620",7626288,1617,"dupont st","Ring"
"621",7626289,2770,"danforth ave","Ring"
"622",7626290,2770,"danforth ave","Ring"
"623",7626291,2315,"danforth ave","Ring"
"624",7626292,2315,"danforth ave","Ring"
"625",7626293,1716,"danforth ave","Ring"
"626",7626294,485,"danforth ave","Ring"
"627",7626295,485,"danforth ave","Ring"
"628",7626296,350,"coxwell ave","Ring"
"629",7626297,350,"coxwell ave","Ring"
"630",7626298,302,"gerrard st e","Ring"
"631",7626299,525,"dundas st e","Ring"
"632",7626300,525,"dundas st e","Ring"
"633",7626301,10,"cole st","Ring"
"634",7626302,10,"cole st","Ring"
"635",7626303,10,"cole st","Ring"
"636",7626304,154,"dundas st e","Ring"
"637",7626305,154,"dundas st e","Ring"
"638",7626306,154,"dundas st e","Ring"
"639",7626307,105,"mutual st","Ring"
"640",7626308,2,"church st","Ring"
