street1,street2,avg
coxwell ave,danforth ave,503.625
coxwell ave,mortimer ave,496.71875
crescent rd,yonge st,400
culford rd,lawrence ave,706.0625
cummer ave,fleming dr,145.40625
dan leckie way,fort york blvd,315.96875
dan leckie way,lake shore blvd,726.78125
dane ave,dufferin st,555.1875
danforth ave,danforth rd,304.78125
danforth ave,dawes rd,406.4375
danforth ave,donlands ave,400.78125
danforth ave,greenwood ave,449.53125
danforth ave,jones ave,431.34375
danforth ave,logan ave,458.875
danforth ave,main st,593.59375
danforth ave,pape ave,621.96875
danforth ave,pharmacy ave,418.0625
danforth ave,royal dr,431.75
danforth ave,sibley ave,340.25
danforth ave,thyra ave,448.5
danforth ave,victoria park ave,648.6875
danforth ave,woodbine ave,664.09375
danforth rd,eglinton ave,705.3125
davenport rd,spadina rd,295.1875
davisville ave,mount pleasant rd,568.71875
delaware ave n,geary ave,55.46875
delsing dr,westhumber blvd,121.15625
dewhurst blvd n,sammon ave,22.875
dixon rd,martin grove rd,975.625
dohme ave,westview blvd,21.40625
don mills rd,the donway north,392.0625
don rdwy,lake shore blvd,379.3125
donlands ave,oconnor dr,638.6875
dovehouse ave,sharpecroft blvd,68.9375
dovercourt rd,geary ave,235.3125
dufferin st,dundas st w,545.84375
dufferin st,dupont st,717.53125
dufferin st,geary ave,480.21875
dufferin st,lawrence ave,907.0625
dufferin st,peel ave,278.6875
dufferin st,queen st ,605.53125
dufferin st,rosemount ave,401.8125
dufferin st,st clair ave,726.6875
dufferin st,wallace ave,401.375
dufflaw rd,lawrence ave,455.3125
duncairn road,the donway w,99.4375
dundas st,grace st,313.625
dundas st,hamilton st,206.9375
dundas st,howard park rd,384.09375
dundas st,keele st,700.125
dundas st,logan ave,220.09375
dundas st,manning ave,356.15625
dundas st,munro st,222.4375
dundas st,ritchie ave,296.21875
dundas st,river st,366.71875
dundas st,roncesvalles ave,416.375
dundas st,sackville st,244.09375
dundas st,sorauren ave,457.78125
dundas st,sumach st,286.25
