street,avg_volume
laurel ave,336.15625
laurelcrest ave,30.15625
lavinia ave,98.28125
lawrence ave,19706.59375
lawrence ave e,1160.125
lawrence ave w,3440.46875
ledbury st,500.375
lee ave,407.09375
legion rd,332.40625
leslie st,2053.0625
lightbourn ave,27.9375
linsmore cr,48.15625
linus rd,45.6875
lismore rd,65.90625
logan ave,1585.40625
long branch ave,383.9375
lower jarvis st,1037.25
lower sherbourne st,231.6875
lower simcoe st,265.03125
lumbervale ave,10.71875
lumsden ave,190.75
m e of olympia dr,570.84375
macpherson ave,40.78125
madison ave,40.78125
main st,1294.4375
malvern st,90.1875
mammoth hall trl,122.625
manderley dr,326.5
maniza rd,27.65625
manning ave,356.15625
margueretta st e,322.84375
market garden mews,603.96875
market st,974
markham rd,1286.0625
marlee ave,690.90625
martin grove rd,975.625
mayfield ave,153.78125
mccowan rd,2440.15625
mcgee st,392.28125
mclevin ave,165.53125
mcmurray ave,25.875
mcnicoll ave,1119.875
meadowacres dr,19.375
meadowglade cres,22.1875
meadowvale rd,338.15625
merrill ave e,248.71875
merton st,386.46875
middlefield rd,583.34375
midland ave,1774.90625
military tr,300.71875
military trl e,223.40625
mill st,776.125
milliken blvd,412.71875
monarch park ave,81.78125
montgomery ave,173.25
montrose ave,338.34375
morningside ave,830.3125
morrish rd,65.84375
morse st,338.5
mortimer ave,496.71875
mount pleasant rd,3195.46875
mount pleasant rd e,395.875
mount pleasant rd w,469.9375
mulberry cres,35.75
munro st,222.4375
musgrave st,434.0625
neilson rd,300.71875
newgate rd,23.4375
north queen st,534
north york blvd,229.5625
norwood rd,298.4375
nymark ave,48.65625
o connor dr,598.15625
oak park ave,95.28125
oakmount rd,365.375
oakridge dr,121.78125
oakwood ave,732.9375
oconnor dr,638.6875
old forest hill rd,65.90625
ontario st,1005.65625
orchard view blvd,203.0625
oriole pkwy,413.4375
ossington ave,819.1875
overbrook pl,190.53125
overlea blvd,487.03125
pape ave,621.96875
parfield dr,23.40625
parkland rd,55.34375
parkside dr,981.46875
parkview gnds,302.6875
parliament st,3913.96875
paulson rd,253.71875
peel ave,278.6875
pembroke st,216.3125
pharmacy ave,1733.53125
phin ave,24.21875
pimlico rd,504.78125
pine st,392.46875
plains rd,53.71875
port union rd,231.46875
princes st,182.625
princess st,402.625
progress ave,148.1875
