location_id,location,lng,lat,centreline_type,centreline_id,px,latest_count_id,latest_count_date
4869,DUNDAS ST AT SORAUREN AVE (PX 640),-79.4453229948666,43.6512009986688,2,13466677,640,40717,2020-03-05
4870,DUNDAS ST AT OSSINGTON AVE (PX 180),-79.4207820040198,43.6493340023729,2,13466940,180,32079,2015-04-11
4871,DUNDAS ST AT GEORGE ST,-79.37345858,43.657303873,2,13465526,,30827,2014-05-01
4872,DUNDAS ST AT ONTARIO ST (PX 1987),-79.368567000256,43.6588710038185,2,13465269,1987,32243,2015-04-13
4873,DUNDAS ST AT WILMAR RD,-79.541361422,43.634735763,2,13468974,,33051,2016-01-12
4874,DUNDAS ST AT HIGHFIELD RD,-79.32348129,43.667738794,2,13463742,,12835,2003-10-16
4875,DANFORTH RD AT KENNEDY RD (PX 375),-79.2608709996901,43.7148460003007,2,13455448,375,34015,2016-06-11
4876,KENNEDY RD AT TRANSWAY CR,-79.267558406,43.731219688,2,13453021,,34187,2016-06-01
4877,KENNEDY RD AT MERRIAN RD (PX 1051),-79.265918005026,43.7274080008572,2,13453613,1051,32695,2015-07-21
4878,KENNEDY RD AT RANSTONE GDNS (PX 1762),-79.2720599996697,43.7421829985822,2,13451299,1762,38157,2018-12-19
4879,KENNEDY RD AT RADNOR AVE (PX 2408),-79.2736520045297,43.7459939981825,2,13450676,2408,38187,2019-01-08
4880,KENNEDY RD AT MUNHAM GT (PX 1084),-79.2786780033669,43.7593520031379,2,13448718,1084,38153,2018-12-19
4881,COLLINGWOOD ST AT JADE ST & KENNEDY RD,-79.287382775,43.781622091,2,13445665,,35055,2017-01-31
4882,COWDRAY CT AT KENNEDY RD (PX 1756),-79.2868989954715,43.7805150010867,2,13445796,1756,38147,2018-12-19
4883,KENNEDY RD AT NORCAP AVE (PX 1684),-79.2943510034384,43.7972130031926,2,13443753,1684,38139,2018-12-19
4884,FINCH AVE AT KENNEDY RD (PX 1021),-79.2965980045827,43.8012679978643,2,13443302,1021,34853,2016-12-03
4885,KENNEDY RD AT MCNICOLL AVE (PX 1586),-79.301944996827,43.8121359970682,2,13442363,1586,38061,2018-12-15
4886,CLINTON ST AT HARBORD ST (PX 2320),-79.415855995147,43.6602839960866,2,13465154,2320,25621,2010-04-21
4887,BLOOR ST AT PARLIAMENT ST (PX 252),-79.3706969994452,43.6720090021432,2,13463124,252,41851,2021-05-15
4888,BLOOR ST AT MONTGOMERY RD (PX 1591),-79.5145709997531,43.6466699958177,2,13467572,1591,38109,2018-12-20
